timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value
5315,575,580,-0.0006,179
5316,576,580,0.0028,179
5317,577,580,0.0062,179
5318,576,580,0.0028,179
5320,576,580,0.0028,179
5321,576,580,0.0028,179
5323,577,580,0.0062,180
5325,577,579,0.0026,180
5327,576,579,-0.0008,180
5329,575,579,-0.0043,181
5331,576,579,-0.0008,181
5334,575,579,-0.0043,181
5337,574,579,-0.0077,181
5339,576,579,-0.0008,181
5341,574,579,-0.0077,181
5343,576,579,-0.0008,181
5345,575,579,-0.0043,181
5347,575,579,-0.0043,181
5350,575,578,-0.0079,182
5352,575,578,-0.0079,182
5354,575,579,-0.0043,183
5356,575,578,-0.0079,183
5358,575,578,-0.0079,183
5360,575,578,-0.0079,183
5362,574,578,-0.0114,183
5365,575,578,-0.0079,184
5367,575,578,-0.0079,184
5369,575,578,-0.0079,185
5371,574,579,-0.0077,185
5373,575,578,-0.0079,185
5376,575,579,-0.0043,185
5379,574,579,-0.0077,185
5381,574,578,-0.0114,186
5383,574,579,-0.0077,186
5385,576,578,-0.0044,187
5387,575,579,-0.0043,187
5389,574,579,-0.0077,187
5392,575,579,-0.0043,187
5394,575,578,-0.0079,187
5396,574,578,-0.0114,187
5398,574,579,-0.0077,188
5400,575,578,-0.0079,188
5402,575,579,-0.0043,189
5404,574,578,-0.0114,189
5407,574,578,-0.0114,189
5409,575,579,-0.0043,189
5411,574,578,-0.0114,189
5413,574,578,-0.0114,189
5415,574,578,-0.0114,189
5417,575,578,-0.0079,189
5421,575,578,-0.0079,189
5423,575,578,-0.0079,189
5425,576,578,-0.0044,189
5427,576,578,-0.0044,189
5429,576,578,-0.0044,190
5431,576,578,-0.0044,190
5434,575,578,-0.0079,190
5436,575,579,-0.0043,190
5438,576,579,-0.0008,190
5440,575,580,-0.0006,190
5442,575,579,-0.0043,190
5444,576,580,0.0028,190
5446,575,580,-0.0006,190
5449,575,580,-0.0006,190
5451,576,580,0.0028,190
5453,575,580,-0.0006,190
5455,577,580,0.0062,189
5457,577,581,0.0098,189
5459,576,581,0.0064,189
5462,577,581,0.0098,189
5464,577,581,0.0098,189
5466,577,582,0.0134,189
5468,577,581,0.0098,189
5470,577,581,0.0098,189
5473,578,581,0.0132,188
5475,578,581,0.0132,188
5477,578,581,0.0132,188
5479,578,580,0.0097,188
5481,578,581,0.0132,188
5483,579,581,0.0166,188
5485,578,581,0.0132,188
5487,578,581,0.0132,188
5489,578,581,0.0132,188
5491,578,581,0.0132,188
5493,578,581,0.0132,188
5495,577,581,0.0098,188
5497,578,581,0.0132,188
5500,577,581,0.0098,188
5502,577,581,0.0098,188
5505,577,581,0.0098,189
5507,578,580,0.0097,189
5509,578,581,0.0132,189
5511,578,581,0.0132,190
5513,578,581,0.0132,190
5515,577,581,0.0098,190
5517,577,580,0.0062,190
5519,577,581,0.0098,190
5521,578,580,0.0097,191
5523,578,580,0.0097,191
5525,578,581,0.0132,192
5527,577,580,0.0062,192
5530,577,580,0.0062,192
5532,577,581,0.0098,192
5534,577,579,0.0026,193
5536,577,580,0.0062,194
5538,577,580,0.0062,194
5540,576,579,-0.0008,194
5542,575,579,-0.0043,194
5544,576,579,-0.0008,195
5547,576,580,0.0028,195
5549,576,579,-0.0008,196
5552,575,579,-0.0043,196
5554,574,579,-0.0077,196
5556,575,579,-0.0043,197
5558,576,579,-0.0008,197
5560,575,579,-0.0043,198
5562,575,579,-0.0043,198
5565,576,579,-0.0008,198
5567,576,579,-0.0008,198
5569,575,579,-0.0043,199
5571,575,579,-0.0043,200
5573,576,580,0.0028,200
