timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
5316,581,559,-0.0034,-36,0,0,0,0,0,0
5318,581,559,-0.0034,-36,0,0,0,0,0,0
5329,581,559,-0.0034,-36,0,0,0,0,0,0
5368,580,559,-0.0077,-36,0,0,0,0,0,0
5408,580,559,-0.0077,-36,0,0,0,0,0,0
5447,581,559,-0.0034,-36,0,0,0,0,0,0
5487,581,560,-0.0004,-36,0,0,0,0,0,0
5527,581,560,-0.0004,-36,0,0,0,0,0,0
5566,581,560,-0.0004,-36,0,0,0,0,0,0
5606,581,560,-0.0004,-36,0,0,0,0,0,0
5645,581,559,-0.0034,-36,0,0,0,0,0,0
5685,581,559,-0.0034,-36,0,0,0,0,0,0
5725,581,560,-0.0004,-36,0,0,0,0,0,0
5764,581,560,-0.0004,-36,0,0,0,0,0,0
5804,580,560,-0.0047,-36,0,0,0,0,0,0
5842,580,559,-0.0077,-36,0,0,0,0,0,0
5882,582,559,0.0010,-36,0,0,0,0,0,0
5920,581,560,-0.0004,-36,0,0,0,0,0,0
5960,580,559,-0.0077,-36,0,0,0,0,0,0
6000,581,561,0.0026,-36,0,0,0,0,0,0
6038,581,560,-0.0004,-36,0,0,0,0,0,0
6078,581,560,-0.0004,-36,0,0,0,0,0,0
6117,581,560,-0.0004,-36,0,0,0,0,0,0
6157,581,560,-0.0004,-36,0,0,0,0,0,0
6197,581,559,-0.0034,-36,0,0,0,0,0,0
6236,581,560,-0.0004,-36,0,0,0,0,0,0
6276,581,559,-0.0034,-36,0,0,0,0,0,0
6315,581,560,-0.0004,-36,0,0,0,0,0,0
6354,581,559,-0.0034,-36,0,0,0,0,0,0
6394,580,561,-0.0016,-36,0,0,0,0,0,0
6433,581,559,-0.0034,-36,0,0,0,0,0,0
6473,581,560,-0.0004,-36,0,0,0,0,0,0
6512,581,559,-0.0034,-36,0,0,0,0,0,0
6552,581,560,-0.0004,-36,0,0,0,0,0,0
6592,581,559,-0.0034,-36,0,0,0,0,0,0
6631,581,560,-0.0004,-36,0,0,0,0,0,0
6671,581,560,-0.0004,-36,0,0,0,0,0,0
6710,581,560,-0.0004,-36,0,0,0,0,0,0
6750,581,560,-0.0004,-36,0,0,0,0,0,0
6790,581,560,-0.0004,-36,0,0,0,0,0,0
6829,582,560,0.0039,-36,0,0,0,0,0,0
6867,582,560,0.0039,-36,0,0,0,0,0,0
6905,581,559,-0.0034,-36,0,0,0,0,0,0
6945,582,560,0.0039,-36,0,0,0,0,0,0
6983,581,560,-0.0004,-36,0,0,0,0,0,0
7023,582,560,0.0039,-36,0,0,0,0,0,0
7062,581,560,-0.0004,-36,0,0,0,0,0,0
7101,581,560,-0.0004,-36,0,0,0,0,0,0
7141,581,560,-0.0004,-36,0,0,0,0,0,0
7180,580,560,-0.0047,-36,0,0,0,0,0,0
7220,581,560,-0.0004,-36,0,0,0,0,0,0
7260,581,560,-0.0004,-36,0,0,0,0,0,0
7299,580,561,-0.0016,-25,0,0,0,0,0,0
7339,579,560,-0.0090,-25,0,0,0,0,0,0
7377,580,560,-0.0047,-25,0,0,0,0,0,0
7417,579,560,-0.0090,-25,0,0,0,0,0,0
7457,579,559,-0.0121,-25,0,0,0,0,0,0
7496,577,558,-0.0239,-20,0,0,0,0,0,0
7536,576,557,-0.0314,-15,0,0,0,0,0,0
7575,575,558,-0.0327,-9,0,0,0,0,0,0
7614,575,557,-0.0359,-26,0,0,0,0,0,0
7654,575,555,-0.0422,-20,0,0,0,0,0,0
7693,574,555,-0.0467,-20,0,0,0,0,0,0
