timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
6569,578,559,-0.0288,-9,0,0,0,0,0,0
6607,578,558,-0.0319,-9,0,0,0,0,0,0
6646,576,558,-0.0407,-9,0,0,0,0,0,0
6684,576,557,-0.0439,-9,0,0,0,0,0,0
6723,576,556,-0.0470,-9,0,0,0,0,0,0
6762,576,556,-0.0470,-9,0,0,0,0,0,0
6800,575,555,-0.0546,-9,0,0,0,0,0,0
6839,576,555,-0.0500,-9,0,0,0,0,0,0
6877,576,556,-0.0470,-9,0,0,0,0,0,0
6916,576,555,-0.0500,-9,0,0,0,0,0,0
6955,576,555,-0.0500,-9,0,0,0,0,0,0
6992,576,555,-0.0500,-9,0,0,0,0,0,0
7031,575,555,-0.0546,-9,0,0,0,0,0,0
7069,574,554,-0.0623,-9,0,0,0,0,0,0
7108,576,556,-0.0470,-9,0,0,0,0,0,0
7146,575,555,-0.0546,-9,0,0,0,0,0,0
7185,574,555,-0.0591,-9,0,0,0,0,0,0
7224,575,554,-0.0577,-9,0,0,0,0,0,0
7262,575,555,-0.0546,-9,0,0,0,0,0,0
7301,574,555,-0.0591,-9,0,0,0,0,0,0
7339,576,554,-0.0531,-9,0,0,0,0,0,0
7377,575,554,-0.0577,-9,0,0,0,0,0,0
7415,575,554,-0.0577,-9,0,0,0,0,0,0
7454,575,554,-0.0577,-9,0,0,0,0,0,0
7493,575,555,-0.0546,-9,0,0,0,0,0,0
7531,574,554,-0.0623,-9,0,0,0,0,0,0
7570,574,553,-0.0654,-9,0,0,0,0,0,0
7608,575,553,-0.0607,-9,0,0,0,0,0,0
7647,575,555,-0.0546,-9,0,0,0,0,0,0
7685,574,554,-0.0623,-8,0,0,0,0,0,0
7724,574,554,-0.0623,-7,0,0,0,0,0,0
7762,574,554,-0.0623,-6,0,0,0,0,0,0
7800,575,553,-0.0607,-5,0,0,0,0,0,0
7877,574,553,-0.0654,-1,0,0,0,0,0,0
7954,574,554,-0.0623,1,0,0,0,0,0,0
7991,573,554,-0.0669,2,0,0,0,0,0,0
8029,573,554,-0.0669,3,0,0,0,0,0,0
8066,574,554,-0.0623,5,0,0,0,0,0,0
8103,574,553,-0.0654,7,0,0,0,0,0,0
8140,574,554,-0.0623,8,0,0,0,0,0,0
8178,574,555,-0.0591,12,0,0,0,0,0,0
8216,574,553,-0.0654,17,0,0,0,0,0,0
8255,574,553,-0.0654,19,0,0,0,0,0,0
8294,572,553,-0.0747,21,0,0,0,0,0,0
8332,573,552,-0.0732,23,0,0,0,0,0,0
8371,573,552,-0.0732,24,0,0,0,0,0,0
8409,574,553,-0.0654,26,0,0,0,0,0,0
8448,574,552,-0.0685,27,0,0,0,0,0,0
8486,573,553,-0.0700,29,0,0,0,0,0,0
8524,574,553,-0.0654,30,0,0,0,0,0,0
8563,574,553,-0.0654,31,0,0,0,0,0,0
8601,574,553,-0.0654,34,0,0,0,0,0,0
8640,574,553,-0.0654,35,0,0,0,0,0,0
8678,574,552,-0.0685,36,0,0,0,0,0,0
8717,575,553,-0.0607,38,0,0,0,0,0,0
8756,574,552,-0.0685,40,0,0,0,0,0,0
8794,573,552,-0.0732,45,0,0,0,0,0,0
8833,573,551,-0.0762,46,0,0,0,0,0,0
8870,574,552,-0.0685,47,0,0,0,0,0,0
8909,574,552,-0.0685,48,0,0,0,0,0,0
8947,575,553,-0.0607,49,0,0,0,0,0,0
8986,573,553,-0.0700,50,0,0,0,0,0,0
9025,574,552,-0.0685,51,0,0,0,0,0,0
9063,574,552,-0.0685,52,0,0,0,0,0,0
9102,574,553,-0.0654,54,0,0,0,0,0,0
9140,574,554,-0.0623,56,0,0,0,0,0,0
9179,574,554,-0.0623,58,0,0,0,0,0,0
9218,573,553,-0.0700,59,0,0,0,0,0,0
9255,574,554,-0.0623,60,0,0,0,0,0,0
9294,574,554,-0.0623,62,0,0,0,0,0,0
9332,574,554,-0.0623,63,0,0,0,0,0,0
9371,573,552,-0.0732,65,0,0,0,0,0,0
9409,572,553,-0.0747,66,0,0,0,0,0,0
9448,572,553,-0.0747,70,0,0,0,0,0,0
9487,572,552,-0.0779,71,0,0,0,0,0,0
9525,571,552,-0.0826,72,0,0,0,0,0,0
9564,571,551,-0.0857,73,0,0,0,0,0,0
9602,570,552,-0.0873,77,0,0,0,0,0,0
