timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
5316,585,563,0.0047,-24,0,0,0,0,0,0
5318,585,564,0.0076,-24,0,0,0,0,0,0
5327,585,563,0.0047,-24,0,0,0,0,0,0
5365,584,562,-0.0025,-24,0,0,0,0,0,0
5405,584,563,0.0005,-26,0,0,0,0,0,0
5443,585,563,0.0047,-26,0,0,0,0,0,0
5482,585,564,0.0076,-26,0,0,0,0,0,0
5521,584,564,0.0035,-25,0,0,0,0,0,0
5559,585,564,0.0076,-25,0,0,0,0,0,0
5598,584,564,0.0035,-25,0,0,0,0,0,0
5636,584,564,0.0035,-25,0,0,0,0,0,0
5675,584,565,0.0065,-23,0,0,0,0,0,0
5712,585,564,0.0076,-23,0,0,0,0,0,0
5751,585,565,0.0106,-18,0,0,0,0,0,0
5790,584,565,0.0065,-17,0,0,0,0,0,0
5828,585,565,0.0106,-15,0,0,0,0,0,0
5867,584,564,0.0035,-19,0,0,0,0,0,0
5905,583,563,-0.0037,-27,0,0,0,0,0,0
5945,583,562,-0.0067,-29,0,0,0,0,0,0
5985,582,562,-0.0109,-36,0,0,0,0,0,0
6024,583,562,-0.0067,-46,0,0,0,0,0,0
6064,583,563,-0.0037,-47,0,0,0,0,0,0
6103,582,562,-0.0109,-47,0,0,0,0,0,0
6142,583,563,-0.0037,-47,0,0,0,0,0,0
6181,582,563,-0.0079,-47,0,0,0,0,0,0
6221,583,561,-0.0097,-47,0,0,0,0,0,0
6261,582,561,-0.0139,-41,0,0,0,0,0,0
6300,582,561,-0.0139,-41,0,0,0,0,0,0
6340,583,561,-0.0097,-41,0,0,0,0,0,0
6379,582,561,-0.0139,-41,0,0,0,0,0,0
6419,582,562,-0.0109,-32,0,0,0,0,0,0
6459,581,561,-0.0182,-32,0,0,0,0,0,0
6498,582,561,-0.0139,-32,0,0,0,0,0,0
6538,582,561,-0.0139,-32,0,0,0,0,0,0
6577,583,561,-0.0097,-35,0,0,0,0,0,0
6617,582,562,-0.0109,-36,0,0,0,0,0,0
6657,582,562,-0.0109,-36,0,0,0,0,0,0
6695,583,562,-0.0067,-36,0,0,0,0,0,0
6735,582,562,-0.0109,-34,0,0,0,0,0,0
6774,582,563,-0.0079,-33,0,0,0,0,0,0
6814,577,561,-0.0352,-26,0,0,0,0,0,0
6854,577,560,-0.0384,-23,0,0,0,0,0,0
6893,575,560,-0.0470,-22,0,0,0,0,0,0
6933,574,558,-0.0579,-21,0,0,0,0,0,0
6972,573,557,-0.0656,-13,0,0,0,0,0,0
7012,573,556,-0.0689,-13,0,0,0,0,0,0
7052,574,555,-0.0675,-10,0,0,0,0,0,0
7091,572,556,-0.0733,-10,0,0,0,0,0,0
7131,570,555,-0.0857,-9,0,0,0,0,0,0
7169,568,552,-0.1051,-5,0,0,0,0,0,0
7207,566,553,-0.1110,0,0,0,0,0,0,0
7244,566,552,-0.1145,5,0,0,0,0,0,0
7282,565,549,-0.1297,7,0,0,0,0,0,0
7320,564,549,-0.1346,8,0,0,0,0,0,0
7357,563,548,-0.1430,11,0,0,0,0,0,0
7396,561,547,-0.1566,13,0,0,0,0,0,0
7434,562,547,-0.1516,16,0,0,0,0,0,0
7473,561,547,-0.1566,19,0,0,0,0,0,0
7511,561,545,-0.1637,23,0,0,0,0,0,0
7549,559,544,-0.1777,28,0,0,0,0,0,0
7588,559,542,-0.1848,31,0,0,0,0,0,0
7626,559,544,-0.1777,34,0,0,0,0,0,0
7665,559,544,-0.1777,36,0,0,0,0,0,0
7703,558,544,-0.1829,37,0,0,0,0,0,0
7742,559,543,-0.1813,41,0,0,0,0,0,0
7780,558,544,-0.1829,46,0,0,0,0,0,0
7819,558,543,-0.1866,49,0,0,0,0,0,0
7858,558,542,-0.1902,53,0,0,0,0,0,0
7896,558,542,-0.1902,58,0,0,0,0,0,0
7934,559,542,-0.1848,61,0,0,0,0,0,0
7972,559,542,-0.1848,65,0,0,0,0,0,0
8011,558,542,-0.1902,70,0,0,0,0,0,0
8050,558,542,-0.1902,74,0,0,0,0,0,0
8088,558,542,-0.1902,76,0,0,0,0,0,0
8127,557,542,-0.1956,82,0,0,0,0,0,0
8165,557,542,-0.1956,85,0,0,0,0,0,0
8204,556,543,-0.1973,87,0,0,0,0,0,0
8242,557,543,-0.1919,94,0,0,0,0,0,0
8281,555,542,-0.2064,100,0,0,0,0,0,0
8321,557,541,-0.1992,102,0,0,0,0,0,0
8359,556,542,-0.2010,105,0,0,0,0,0,0
8399,557,542,-0.1956,109,0,0,0,0,0,0
8438,555,542,-0.2064,112,0,0,0,0,0,0
8478,553,541,-0.2213,114,0,0,0,0,0,0
