timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
5316,584,565,-0.0015,0,0,0,0,0,0,0
5318,584,564,-0.0045,0,0,0,0,0,0,0
5325,584,564,-0.0045,0,0,0,0,0,0,0
5362,584,565,-0.0015,0,0,0,0,0,0,0
5400,584,565,-0.0015,0,0,0,0,0,0,0
5438,584,564,-0.0045,0,0,0,0,0,0,0
5475,584,565,-0.0015,0,0,0,0,0,0,0
5513,584,565,-0.0015,0,0,0,0,0,0,0
5550,585,565,0.0026,0,0,0,0,0,0,0
5586,584,565,-0.0015,0,0,0,0,0,0,0
5623,584,565,-0.0015,0,0,0,0,0,0,0
5661,584,565,-0.0015,0,0,0,0,0,0,0
5699,584,565,-0.0015,0,0,0,0,0,0,0
5736,585,565,0.0026,0,0,0,0,0,0,0
5773,584,564,-0.0045,0,0,0,0,0,0,0
5810,585,565,0.0026,0,0,0,0,0,0,0
5847,584,565,-0.0015,0,0,0,0,0,0,0
5883,585,564,-0.0003,0,0,0,0,0,0,0
5921,583,565,-0.0056,0,0,0,0,0,0,0
5958,585,564,-0.0003,0,0,0,0,0,0,0
5996,585,565,0.0026,0,0,0,0,0,0,0
6033,584,565,-0.0015,0,0,0,0,0,0,0
6070,584,565,-0.0015,0,0,0,0,0,0,0
6108,586,565,0.0067,0,0,0,0,0,0,0
6144,585,566,0.0056,0,0,0,0,0,0,0
6180,585,564,-0.0003,0,0,0,0,0,0,0
6217,585,565,0.0026,0,0,0,0,0,0,0
6254,583,565,-0.0056,0,0,0,0,0,0,0
6291,585,565,0.0026,0,0,0,0,0,0,0
6328,584,564,-0.0045,0,0,0,0,0,0,0
6366,585,565,0.0026,0,0,0,0,0,0,0
6402,585,565,0.0026,0,0,0,0,0,0,0
6438,584,565,-0.0015,0,0,0,0,0,0,0
6475,585,565,0.0026,0,0,0,0,0,0,0
6512,585,564,-0.0003,0,0,0,0,0,0,0
6549,584,565,-0.0015,0,0,0,0,0,0,0
6587,585,565,0.0026,0,0,0,0,0,0,0
6623,584,564,-0.0045,0,0,0,0,0,0,0
6661,584,565,-0.0015,0,0,0,0,0,0,0
6699,584,564,-0.0045,0,0,0,0,0,0,0
6735,584,564,-0.0045,0,0,0,0,0,0,0
6773,584,564,-0.0045,0,0,0,0,0,0,0
6810,584,565,-0.0015,0,0,0,0,0,0,0
6848,584,565,-0.0015,0,0,0,0,0,0,0
6885,584,563,-0.0074,0,0,0,0,0,0,0
6923,584,563,-0.0074,0,0,0,0,0,0,0
6960,584,563,-0.0074,0,0,0,0,0,0,0
6998,584,565,-0.0015,0,0,0,0,0,0,0
7035,584,564,-0.0045,0,0,0,0,0,0,0
7072,583,564,-0.0086,0,0,0,0,0,0,0
7110,584,564,-0.0045,0,0,0,0,0,0,0
7147,584,564,-0.0045,0,0,0,0,0,0,0
7185,584,565,-0.0015,0,0,0,0,0,0,0
7222,585,564,-0.0003,0,0,0,0,0,0,0
7260,585,564,-0.0003,0,0,0,0,0,0,0
7298,586,564,0.0038,0,0,0,0,0,0,0
7333,584,563,-0.0074,0,0,0,0,0,0,0
7371,585,564,-0.0003,0,0,0,0,0,0,0
7408,585,564,-0.0003,0,0,0,0,0,0,0
7446,584,564,-0.0045,0,0,0,0,0,0,0
7483,584,564,-0.0045,0,0,0,0,0,0,0
7521,584,565,-0.0015,0,0,0,0,0,0,0
7558,585,565,0.0026,0,0,0,0,0,0,0
7595,584,565,-0.0015,0,0,0,0,0,0,0
7632,584,564,-0.0045,0,0,0,0,0,0,0
7669,585,566,0.0056,0,0,0,0,0,0,0
7706,584,565,-0.0015,0,0,0,0,0,0,0
7743,584,564,-0.0045,0,0,0,0,0,0,0
7781,584,565,-0.0015,0,0,0,0,0,0,0
7818,585,564,-0.0003,0,0,0,0,0,0,0
7856,584,564,-0.0045,0,0,0,0,0,0,0
7892,584,565,-0.0015,0,0,0,0,0,0,0
7930,584,565,-0.0015,0,0,0,0,0,0,0
7968,584,564,-0.0045,0,0,0,0,0,0,0
8005,584,564,-0.0045,0,0,0,0,0,0,0
8043,584,564,-0.0045,0,0,0,0,0,0,0
8080,585,564,-0.0003,0,0,0,0,0,0,0
8118,585,564,-0.0003,0,0,0,0,0,0,0
8155,584,563,-0.0074,0,0,0,0,0,0,0
8193,585,564,-0.0003,0,0,0,0,0,0,0
8230,585,564,-0.0003,0,0,0,0,0,0,0
8267,584,564,-0.0045,0,0,0,0,0,0,0
8305,584,564,-0.0045,0,0,0,0,0,0,0
8342,584,565,-0.0015,0,0,0,0,0,0,0
8380,584,564,-0.0045,0,0,0,0,0,0,0
8417,584,565,-0.0015,0,0,0,0,0,0,0
8455,583,564,-0.0086,0,0,0,0,0,0,0
8492,584,565,-0.0015,0,0,0,0,0,0,0
8529,584,564,-0.0045,0,0,0,0,0,0,0
8567,585,564,-0.0003,0,0,0,0,0,0,0
8604,584,564,-0.0045,0,0,0,0,0,0,0
8642,584,564,-0.0045,0,0,0,0,0,0,0
8679,584,565,-0.0015,0,0,0,0,0,0,0
8717,584,564,-0.0045,0,0,0,0,0,0,0
8754,584,565,-0.0015,0,0,0,0,0,0,0
8792,584,565,-0.0015,0,0,0,0,0,0,0
8829,584,564,-0.0045,0,0,0,0,0,0,0
8866,584,563,-0.0074,0,0,0,0,0,0,0
8904,584,564,-0.0045,0,0,0,0,0,0,0
8941,583,565,-0.0056,0,0,0,0,0,0,0
8979,584,565,-0.0015,0,0,0,0,0,0,0
9016,584,564,-0.0045,0,0,0,0,0,0,0
9054,583,565,-0.0056,0,0,0,0,0,0,0
9091,584,565,-0.0015,0,0,0,0,0,0,0
9128,585,564,-0.0003,0,0,0,0,0,0,0
9166,584,564,-0.0045,0,0,0,0,0,0,0
9203,585,564,-0.0003,0,0,0,0,0,0,0
9241,584,564,-0.0045,0,0,0,0,0,0,0
9278,584,564,-0.0045,0,0,0,0,0,0,0
9316,584,565,-0.0015,0,0,0,0,0,0,0
9353,584,564,-0.0045,0,0,0,0,0,0,0
9391,584,564,-0.0045,0,0,0,0,0,0,0
9428,584,565,-0.0015,0,0,0,0,0,0,0
9465,584,565,-0.0015,0,0,0,0,0,0,0
9503,585,564,-0.0003,0,0,0,0,0,0,0
9540,585,565,0.0026,0,0,0,0,0,0,0
9577,583,565,-0.0056,0,0,0,0,0,0,0
9614,584,565,-0.0015,0,0,0,0,0,0,0
9652,584,564,-0.0045,0,0,0,0,0,0,0
9689,584,564,-0.0045,0,0,0,0,0,0,0
9726,585,565,0.0026,0,0,0,0,0,0,0
9763,584,564,-0.0045,0,0,0,0,0,0,0
9800,584,564,-0.0045,0,0,0,0,0,0,0
9838,583,564,-0.0086,0,0,0,0,0,0,0
9875,584,565,-0.0015,0,0,0,0,0,0,0
9913,584,564,-0.0045,0,0,0,0,0,0,0
9950,584,565,-0.0015,0,0,0,0,0,0,0
9988,583,565,-0.0056,0,0,0,0,0,0,0
10025,584,565,-0.0015,0,0,0,0,0,0,0
