timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value
5314,578,582,-0.0012,-307
5316,578,583,0.0023,-307
5317,579,583,0.0057,-307
5318,579,583,0.0057,-307
5320,579,582,0.0021,-307
5321,580,582,0.0055,-307
5323,579,583,0.0057,-307
5325,580,582,0.0055,-307
5327,579,583,0.0057,-307
5329,578,582,-0.0012,-307
5332,579,582,0.0021,-307
5335,579,583,0.0057,-307
5337,579,583,0.0057,-307
5339,579,583,0.0057,-307
5341,578,583,0.0023,-307
5343,578,582,-0.0012,-307
5346,579,582,0.0021,-307
5348,578,583,0.0023,-307
5350,580,583,0.0090,-307
5352,580,583,0.0090,-307
5354,579,583,0.0057,-307
5357,578,583,0.0023,-307
5359,580,583,0.0090,-307
5361,580,583,0.0090,-307
5363,579,583,0.0057,-306
5365,578,583,0.0023,-306
5367,580,583,0.0090,-306
5369,580,583,0.0090,-306
5372,578,583,0.0023,-306
5374,578,583,0.0023,-306
5377,580,583,0.0090,-306
5379,580,584,0.0125,-306
5381,579,583,0.0057,-306
5383,579,583,0.0057,-306
5386,580,583,0.0090,-306
5388,579,583,0.0057,-306
5390,579,582,0.0021,-306
5392,579,583,0.0057,-306
5394,580,583,0.0090,-306
5396,580,583,0.0090,-306
5399,579,583,0.0057,-306
5401,579,583,0.0057,-306
5403,579,583,0.0057,-306
5405,579,583,0.0057,-306
5407,578,583,0.0023,-306
5409,579,583,0.0057,-306
5411,580,583,0.0090,-306
5414,580,583,0.0090,-306
5416,579,583,0.0057,-306
5419,579,584,0.0092,-306
5421,580,584,0.0125,-306
5423,580,583,0.0090,-305
5425,579,582,0.0021,-305
5428,578,583,0.0023,-305
5430,580,583,0.0090,-305
5432,580,583,0.0090,-305
5434,579,582,0.0021,-305
5436,578,583,0.0023,-305
5438,580,583,0.0090,-305
5441,580,583,0.0090,-305
5443,578,582,-0.0012,-305
5445,579,582,0.0021,-305
5447,579,583,0.0057,-305
5449,578,583,0.0023,-305
5451,580,583,0.0090,-305
5454,578,583,0.0023,-305
5456,578,583,0.0023,-305
5458,579,583,0.0057,-305
5460,580,582,0.0055,-305
5463,578,583,0.0023,-305
5465,578,583,0.0023,-305
5468,578,582,-0.0012,-305
5470,580,583,0.0090,-305
5472,579,584,0.0092,-305
5474,580,584,0.0125,-305
5476,579,583,0.0057,-305
5478,578,583,0.0023,-305
5481,580,583,0.0090,-306
5483,579,582,0.0021,-306
5485,578,583,0.0023,-306
5487,579,583,0.0057,-306
5489,580,583,0.0090,-306
5491,580,583,0.0090,-306
5493,579,583,0.0057,-307
5496,578,582,-0.0012,-307
5498,579,583,0.0057,-307
5500,580,583,0.0090,-307
5502,580,583,0.0090,-307
5505,579,584,0.0092,-307
5508,579,583,0.0057,-307
5510,579,583,0.0057,-307
5512,580,583,0.0090,-307
5514,578,583,0.0023,-307
5516,578,583,0.0023,-307
5518,579,584,0.0092,-307
5520,580,583,0.0090,-307
5523,579,583,0.0057,-308
5525,579,583,0.0057,-308
5527,580,583,0.0090,-308
5529,580,583,0.0090,-308
5531,579,583,0.0057,-308
5533,579,583,0.0057,-309
5536,579,583,0.0057,-309
5538,581,583,0.0124,-309
5540,580,584,0.0125,-309
5542,580,584,0.0125,-309
5544,579,583,0.0057,-309
5547,580,584,0.0125,-309
5550,579,583,0.0057,-309
5552,579,584,0.0092,-309
5554,579,584,0.0092,-309
5556,580,583,0.0090,-309
5558,579,584,0.0092,-309
5560,579,583,0.0057,-309
5562,579,583,0.0057,-309
5565,580,583,0.0090,-309
5567,580,584,0.0125,-310
5569,580,584,0.0125,-310
5571,580,584,0.0125,-310
5573,580,583,0.0090,-310
5575,579,584,0.0092,-310
5578,579,583,0.0057,-310
5580,579,583,0.0057,-311
5582,581,583,0.0124,-311
5584,579,584,0.0092,-311
5586,579,584,0.0092,-311
5588,579,584,0.0092,-311
5592,581,583,0.0124,-311
5594,579,583,0.0057,-311
5596,579,584,0.0092,-311
5598,579,584,0.0092,-311
5600,581,584,0.0159,-311
5602,579,584,0.0092,-311
5604,579,584,0.0092,-311
5607,579,584,0.0092,-311
5609,581,583,0.0124,-311
5611,579,584,0.0092,-311
5613,579,584,0.0092,-311
5615,579,583,0.0057,-311
5617,580,583,0.0090,-311
5620,579,583,0.0057,-311
5622,579,584,0.0092,-311
5624,580,583,0.0090,-311
5626,580,583,0.0090,-312
5628,579,583,0.0057,-312
5630,579,583,0.0057,-312
5634,579,583,0.0057,-312
5636,580,583,0.0090,-312
5638,579,582,0.0021,-312
5640,579,583,0.0057,-312
5642,579,583,0.0057,-312
5644,580,583,0.0090,-312
5646,579,583,0.0057,-312
5649,579,583,0.0057,-312
5651,579,583,0.0057,-313
5653,581,584,0.0159,-313
5655,579,583,0.0057,-313
5657,579,584,0.0092,-313
5659,579,584,0.0092,-313
5662,580,583,0.0090,-313
5664,579,584,0.0092,-313
5666,579,583,0.0057,-313
5668,579,584,0.0092,-313
5670,580,583,0.0090,-313
5672,579,584,0.0092,-313
5676,579,584,0.0092,-313
5678,579,583,0.0057,-313
5680,580,583,0.0090,-313
5682,579,583,0.0057,-313
5684,579,583,0.0057,-313
5686,579,584,0.0092,-313
5688,581,583,0.0124,-313
5691,579,583,0.0057,-313
5693,578,583,0.0023,-313
5695,578,583,0.0023,-313
5697,580,583,0.0090,-313
