timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value
5314,574,547,0.0010,1
5315,574,547,0.0010,1
5316,575,547,0.0060,1
5318,574,547,0.0010,1
5319,575,547,0.0060,1
5320,575,547,0.0060,1
5321,574,548,0.0039,1
5323,575,547,0.0060,1
5325,575,547,0.0060,1
5327,574,548,0.0039,1
5329,574,547,0.0010,1
5330,574,547,0.0010,1
5332,575,547,0.0060,1
5335,575,547,0.0060,1
5337,574,547,0.0010,1
5339,574,547,0.0010,1
5341,574,547,0.0010,1
5343,574,547,0.0010,1
5345,574,547,0.0010,1
5347,574,547,0.0010,1
5349,574,548,0.0039,1
5351,574,547,0.0010,1
5352,575,547,0.0060,1
5354,574,547,0.0010,1
5356,575,547,0.0060,1
5358,574,547,0.0010,1
5360,575,547,0.0060,1
5362,575,547,0.0060,1
5364,574,547,0.0010,1
5366,575,547,0.0060,1
5368,574,548,0.0039,1
5370,574,547,0.0010,1
5372,574,547,0.0010,1
5373,574,548,0.0039,1
5376,574,547,0.0010,1
5378,575,548,0.0088,1
5380,574,547,0.0010,1
5382,574,547,0.0010,1
5384,574,547,0.0010,1
5386,574,547,0.0010,1
5388,575,547,0.0060,1
5390,574,548,0.0039,1
5392,575,548,0.0088,1
5394,574,547,0.0010,1
5395,574,547,0.0010,1
5397,574,547,0.0010,1
5399,574,548,0.0039,1
5401,575,547,0.0060,1
5403,575,548,0.0088,1
5405,574,547,0.0010,1
5407,575,548,0.0088,1
5409,574,547,0.0010,1
5411,574,547,0.0010,1
5413,574,547,0.0010,1
5415,574,548,0.0039,1
5416,574,548,0.0039,1
5419,574,547,0.0010,1
5421,574,548,0.0039,1
5423,574,547,0.0010,1
5425,574,547,0.0010,1
5427,574,547,0.0010,1
5429,574,547,0.0010,1
5431,574,548,0.0039,1
5433,574,547,0.0010,1
5435,574,548,0.0039,1
5437,574,548,0.0039,1
5438,574,547,0.0010,1
5440,575,548,0.0088,1
5442,574,547,0.0010,1
5444,574,548,0.0039,1
5446,574,547,0.0010,1
5448,574,547,0.0010,1
5450,574,547,0.0010,1
5452,574,548,0.0039,1
5454,574,547,0.0010,1
5456,574,548,0.0039,1
5458,574,547,0.0010,1
5459,574,548,0.0039,1
5462,574,547,0.0010,1
5464,574,548,0.0039,1
5466,575,547,0.0060,1
5468,575,547,0.0060,1
5470,574,547,0.0010,1
5472,574,547,0.0010,1
5474,574,547,0.0010,1
5476,574,548,0.0039,1
5478,574,548,0.0039,1
5480,574,548,0.0039,1
5481,574,547,0.0010,1
5483,574,547,0.0010,1
5485,574,547,0.0010,1
5487,575,547,0.0060,1
5489,574,547,0.0010,1
5491,575,547,0.0060,1
5493,574,547,0.0010,1
5495,573,548,-0.0010,1
5497,574,547,0.0010,1
5499,574,548,0.0039,1
5501,574,548,0.0039,1
5504,575,547,0.0060,1
5505,574,547,0.0010,1
5507,574,547,0.0010,1
5509,575,548,0.0088,1
5511,574,548,0.0039,1
5513,575,548,0.0088,1
5515,574,548,0.0039,1
5517,575,547,0.0060,1
5519,574,547,0.0010,1
5521,575,547,0.0060,1
5523,574,547,0.0010,1
5525,574,548,0.0039,1
5526,574,548,0.0039,1
5528,574,547,0.0010,1
5530,574,548,0.0039,1
5532,574,547,0.0010,1
5534,574,547,0.0010,1
5536,574,548,0.0039,1
5538,575,548,0.0088,1
5540,574,547,0.0010,1
5542,574,547,0.0010,1
5544,574,547,0.0010,1
5547,575,547,0.0060,1
5548,574,548,0.0039,1
5550,574,547,0.0010,1
5552,574,548,0.0039,1
5554,574,548,0.0039,1
5556,574,547,0.0010,1
5558,574,548,0.0039,1
5560,574,547,0.0010,1
5562,575,548,0.0088,1
5564,574,547,0.0010,1
5566,574,547,0.0010,1
5568,574,547,0.0010,1
5569,575,547,0.0060,1
5571,575,547,0.0060,1
5573,575,548,0.0088,1
5575,574,547,0.0010,1
5577,575,547,0.0060,1
5579,574,548,0.0039,1
5581,575,547,0.0060,1
5583,574,548,0.0039,1
5585,574,548,0.0039,1
5587,574,547,0.0010,1
5590,574,548,0.0039,1
5591,574,547,0.0010,1
5593,574,547,0.0010,1
5595,574,548,0.0039,1
5597,574,548,0.0039,1
5599,574,547,0.0010,1
5601,574,548,0.0039,1
5603,574,547,0.0010,1
5605,574,547,0.0010,1
5607,574,547,0.0010,1
5609,575,547,0.0060,1
5611,574,547,0.0010,1
5612,574,547,0.0010,1
5614,574,548,0.0039,1
5616,574,547,0.0010,1
5618,574,547,0.0010,1
5620,575,547,0.0060,1
5622,575,547,0.0060,1
5624,574,547,0.0010,1
5626,575,547,0.0060,1
5628,574,547,0.0010,1
5630,574,547,0.0010,1
5633,574,547,0.0010,1
5634,574,547,0.0010,1
5636,574,548,0.0039,1
5638,575,547,0.0060,1
5640,574,548,0.0039,1
5642,574,548,0.0039,1
5644,574,547,0.0010,1
5646,574,547,0.0010,1
5648,574,547,0.0010,1
5650,574,548,0.0039,1
5652,574,548,0.0039,1
5654,574,547,0.0010,1
5655,574,548,0.0039,1
5657,574,547,0.0010,1
5659,574,548,0.0039,1
5661,574,547,0.0010,1
5663,575,547,0.0060,1
5665,574,547,0.0010,1
5667,574,548,0.0039,1
5669,574,547,0.0010,1
5671,574,547,0.0010,1
5673,574,547,0.0010,1
5676,574,547,0.0010,1
5677,574,547,0.0010,1
5679,574,547,0.0010,1
5681,574,547,0.0010,1
5683,575,548,0.0088,1
5685,575,547,0.0060,1
5687,574,548,0.0039,1
5689,574,547,0.0010,1
5691,574,547,0.0010,1
5693,574,547,0.0010,1
5695,574,547,0.0010,1
5697,574,547,0.0010,1
5698,574,548,0.0039,1
5700,574,547,0.0010,1
5702,574,548,0.0039,1
5704,574,548,0.0039,1
5706,575,547,0.0060,1
5708,574,547,0.0010,1
5710,574,547,0.0010,1
5712,575,548,0.0088,1
5714,574,547,0.0010,1
5716,575,547,0.0060,1
5719,574,547,0.0010,1
5720,574,547,0.0010,1
5722,575,547,0.0060,1
5724,574,547,0.0010,1
5726,574,547,0.0010,1
5728,574,547,0.0010,1
5730,574,548,0.0039,1
5732,574,547,0.0010,1
5734,574,548,0.0039,1
5736,574,547,0.0010,1
5738,575,547,0.0060,1
5740,574,547,0.0010,1
5741,574,547,0.0010,1
5743,575,547,0.0060,1
5745,574,548,0.0039,1
5747,575,547,0.0060,1
5749,575,547,0.0060,1
5751,574,548,0.0039,1
5753,574,547,0.0010,1
5755,574,547,0.0010,1
5757,574,548,0.0039,1
5760,574,547,0.0010,1
5762,575,547,0.0060,1
5763,574,547,0.0010,1
5765,574,547,0.0010,1
5767,575,548,0.0088,1
5769,574,547,0.0010,1
5771,574,547,0.0010,1
5773,575,547,0.0060,1
5775,574,547,0.0010,1
5777,574,547,0.0010,1
5779,574,547,0.0010,1
5781,574,547,0.0010,1
5783,574,547,0.0010,1
5784,575,547,0.0060,1
5786,574,547,0.0010,1
5788,574,547,0.0010,1
5790,575,547,0.0060,1
5792,574,547,0.0010,1
5794,575,548,0.0088,1
5796,574,547,0.0010,1
5798,575,548,0.0088,1
5800,574,547,0.0010,1
5803,574,547,0.0010,1
5805,574,548,0.0039,1
5806,574,547,0.0010,1
5808,575,547,0.0060,1
5810,574,547,0.0010,1
5812,574,547,0.0010,1
5814,574,547,0.0010,1
5816,574,547,0.0010,1
5818,574,547,0.0010,1
5820,575,547,0.0060,1
5822,574,547,0.0010,1
5824,574,547,0.0010,1
5826,574,547,0.0010,1
5827,574,547,0.0010,1
5829,575,546,0.0033,1
5831,575,547,0.0060,1
5833,574,547,0.0010,1
5835,575,547,0.0060,1
5837,574,547,0.0010,1
5839,574,547,0.0010,1
5841,574,547,0.0010,1
5843,575,547,0.0060,1
5846,574,547,0.0010,1
5848,574,547,0.0010,1
5849,574,547,0.0010,1
5851,574,547,0.0010,1
5853,574,547,0.0010,1
5855,574,547,0.0010,1
5857,574,547,0.0010,1
5859,574,547,0.0010,1
5861,574,547,0.0010,1
5863,574,547,0.0010,1
5865,574,547,0.0010,1
5867,574,547,0.0010,1
5869,574,547,0.0010,1
5870,574,546,-0.0017,1
5872,575,547,0.0060,1
5874,574,547,0.0010,1
5876,574,547,0.0010,1
5878,575,548,0.0088,1
5880,574,547,0.0010,1
5882,574,547,0.0010,1
5884,574,547,0.0010,1
5886,574,547,0.0010,1
5889,574,547,0.0010,1
5891,574,547,0.0010,1
5893,574,548,0.0039,1
5894,575,547,0.0060,1
5896,574,548,0.0039,1
5898,575,547,0.0060,1
5900,574,547,0.0010,1
5902,574,547,0.0010,1
5904,575,548,0.0088,1
5906,575,547,0.0060,1
5908,574,548,0.0039,1
5910,574,547,0.0010,1
5912,574,547,0.0010,1
5914,575,547,0.0060,1
5915,574,547,0.0010,1
5917,575,547,0.0060,1
5919,574,547,0.0010,1
5921,574,547,0.0010,1
5923,574,547,0.0010,1
5925,574,547,0.0010,1
5927,574,547,0.0010,1
5929,575,547,0.0060,1
5932,574,547,0.0010,1
5934,575,548,0.0088,1
5936,574,548,0.0039,1
5937,575,548,0.0088,1
5939,574,547,0.0010,1
5941,574,547,0.0010,1
5943,573,547,-0.0039,1
5945,574,547,0.0010,1
5947,574,547,0.0010,1
5949,575,547,0.0060,1
5951,574,547,0.0010,1
5953,574,548,0.0039,1
5955,574,547,0.0010,1
5957,574,548,0.0039,1
5959,574,547,0.0010,1
5960,574,547,0.0010,1
5962,574,547,0.0010,1
5964,574,548,0.0039,1
5966,574,548,0.0039,1
5968,574,547,0.0010,1
5970,574,547,0.0010,1
5972,574,547,0.0010,1
5975,574,548,0.0039,1
5977,574,547,0.0010,1
5979,574,548,0.0039,1
5981,574,547,0.0010,1
5982,574,548,0.0039,1
5984,575,547,0.0060,1
5986,574,547,0.0010,1
5988,574,547,0.0010,1
5990,574,548,0.0039,1
5992,574,548,0.0039,1
5994,574,548,0.0039,1
5996,574,547,0.0010,1
5998,575,548,0.0088,1
6000,574,548,0.0039,1
6002,574,548,0.0039,1
6003,574,547,0.0010,1
6005,574,547,0.0010,1
6007,574,548,0.0039,1
6009,574,547,0.0010,1
6011,574,548,0.0039,1
6013,574,548,0.0039,1
6016,574,548,0.0039,1
6018,574,548,0.0039,1
6020,574,547,0.0010,1
6022,574,548,0.0039,1
6024,574,547,0.0010,1
6025,574,547,0.0010,1
6027,574,548,0.0039,1
6029,574,547,0.0010,1
6031,574,548,0.0039,1
6033,574,548,0.0039,1
6035,574,547,0.0010,1
6037,574,548,0.0039,1
6039,574,547,0.0010,1
6041,574,548,0.0039,1
6043,574,547,0.0010,1
6045,575,548,0.0088,1
6046,574,548,0.0039,1
6048,574,548,0.0039,1
6050,574,547,0.0010,1
6052,574,548,0.0039,1
6054,574,547,0.0010,1
6056,574,547,0.0010,1
6059,574,547,0.0010,1
6061,575,548,0.0088,1
6063,574,548,0.0039,1
6065,575,547,0.0060,1
6067,574,548,0.0039,1
6068,574,547,0.0010,1
6070,574,548,0.0039,1
6072,574,548,0.0039,1
6074,574,548,0.0039,1
6076,574,548,0.0039,1
6078,574,547,0.0010,1
6080,574,548,0.0039,1
6082,574,548,0.0039,1
6084,574,547,0.0010,1
6086,575,548,0.0088,1
6088,574,548,0.0039,1
6089,574,548,0.0039,1
6091,574,548,0.0039,1
6093,574,548,0.0039,1
6095,574,548,0.0039,1
6097,574,548,0.0039,1
6099,574,548,0.0039,1
6102,575,547,0.0060,1
6104,575,548,0.0088,1
6106,575,548,0.0088,1
6108,574,547,0.0010,1
6110,574,548,0.0039,1
6111,574,547,0.0010,1
6113,574,547,0.0010,1
6115,574,547,0.0010,1
6117,574,548,0.0039,1
6119,575,548,0.0088,1
6121,575,548,0.0088,1
6123,574,548,0.0039,1
6125,574,548,0.0039,1
6127,574,548,0.0039,1
6129,574,547,0.0010,1
6131,575,547,0.0060,1
6132,574,547,0.0010,1
6134,575,547,0.0060,1
6136,574,548,0.0039,1
6138,574,547,0.0010,1
6140,574,547,0.0010,1
6142,574,548,0.0039,1
6145,574,548,0.0039,1
6147,575,547,0.0060,1
6149,574,548,0.0039,1
6151,575,548,0.0088,1
6153,574,548,0.0039,1
6154,574,548,0.0039,1
6156,574,548,0.0039,1
6158,574,548,0.0039,1
6160,574,548,0.0039,1
6162,574,547,0.0010,1
6164,575,547,0.0060,1
6166,574,548,0.0039,1
6168,574,547,0.0010,1
6170,574,548,0.0039,1
6172,574,548,0.0039,1
6174,574,547,0.0010,1
6175,574,548,0.0039,1
6177,575,548,0.0088,1
6179,575,548,0.0088,1
6181,575,548,0.0088,1
6183,574,548,0.0039,1
6185,574,548,0.0039,1
6188,574,548,0.0039,1
6190,574,548,0.0039,1
6192,574,547,0.0010,1
6194,574,547,0.0010,1
6196,574,547,0.0010,1
6197,574,548,0.0039,1
6199,574,547,0.0010,1
6201,574,547,0.0010,1
6203,574,548,0.0039,1
6205,575,548,0.0088,1
6207,574,547,0.0010,1
6209,574,548,0.0039,1
6211,574,547,0.0010,1
6213,574,547,0.0010,1
6215,575,547,0.0060,2
6217,574,548,0.0039,2
6218,574,548,0.0039,2
6220,574,547,0.0010,2
6222,574,548,0.0039,2
6224,574,548,0.0039,2
6226,574,548,0.0039,2
6228,575,548,0.0088,2
