timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
5315,580,562,-0.0035,-42,0,0,0,0,0,0
5318,580,562,-0.0035,-42,0,0,0,0,0,0
5328,580,561,-0.0066,-42,0,0,0,0,0,0
5368,581,563,0.0038,-42,0,0,0,0,0,0
5407,580,562,-0.0035,-42,0,0,0,0,0,0
5446,581,563,0.0038,-42,0,0,0,0,0,0
5485,581,562,0.0007,-42,0,0,0,0,0,0
5523,581,562,0.0007,-42,0,0,0,0,0,0
5562,580,563,-0.0004,-44,0,0,0,0,0,0
5602,581,563,0.0038,-44,0,0,0,0,0,0
5640,580,562,-0.0035,-44,0,0,0,0,0,0
5680,580,563,-0.0004,-45,0,0,0,0,0,0
5719,581,562,0.0007,-45,0,0,0,0,0,0
5757,580,562,-0.0035,-45,0,0,0,0,0,0
5796,581,561,-0.0023,-45,0,0,0,0,0,0
5836,580,562,-0.0035,-45,0,0,0,0,0,0
5876,580,562,-0.0035,-45,0,0,0,0,0,0
5915,581,561,-0.0023,-45,0,0,0,0,0,0
5955,581,562,0.0007,-45,0,0,0,0,0,0
5993,580,561,-0.0066,-45,0,0,0,0,0,0
6033,580,561,-0.0066,-45,0,0,0,0,0,0
6073,580,562,-0.0035,-43,0,0,0,0,0,0
6112,580,562,-0.0035,-43,0,0,0,0,0,0
6152,579,561,-0.0109,-34,0,0,0,0,0,0
6191,580,561,-0.0066,-34,0,0,0,0,0,0
6231,579,561,-0.0109,-25,0,0,0,0,0,0
6270,580,561,-0.0066,-25,0,0,0,0,0,0
6309,581,561,-0.0023,-25,0,0,0,0,0,0
6349,580,560,-0.0097,-25,0,0,0,0,0,0
6388,578,559,-0.0214,-25,0,0,0,0,0,0
6428,579,559,-0.0170,-25,0,0,0,0,0,0
6468,578,560,-0.0183,-25,0,0,0,0,0,0
6507,580,559,-0.0127,-23,0,0,0,0,0,0
6547,579,559,-0.0170,-20,0,0,0,0,0,0
6586,577,560,-0.0226,-17,0,0,0,0,0,0
6626,579,558,-0.0201,-16,0,0,0,0,0,0
6666,579,560,-0.0140,-13,0,0,0,0,0,0
6705,579,559,-0.0170,-12,0,0,0,0,0,0
6745,578,558,-0.0245,-10,0,0,0,0,0,0
6784,578,558,-0.0245,-6,0,0,0,0,0,0
6822,578,560,-0.0183,-6,0,0,0,0,0,0
6860,578,559,-0.0214,-2,0,0,0,0,0,0
6899,580,559,-0.0127,1,0,0,0,0,0,0
6937,578,559,-0.0214,0,0,0,0,0,0,0
6974,580,558,-0.0157,1,0,0,0,0,0,0
7012,578,559,-0.0214,4,0,0,0,0,0,0
7049,579,560,-0.0140,4,0,0,0,0,0,0
7087,578,560,-0.0183,7,0,0,0,0,0,0
7123,578,559,-0.0214,12,0,0,0,0,0,0
7162,578,560,-0.0183,12,0,0,0,0,0,0
7201,578,560,-0.0183,21,0,0,0,0,0,0
7239,579,559,-0.0170,21,0,0,0,0,0,0
7278,579,561,-0.0109,26,0,0,0,0,0,0
7316,579,561,-0.0109,28,0,0,0,0,0,0
7355,578,559,-0.0214,31,0,0,0,0,0,0
7393,578,560,-0.0183,35,0,0,0,0,0,0
7432,578,559,-0.0214,38,0,0,0,0,0,0
7471,579,560,-0.0140,45,0,0,0,0,0,0
7508,579,559,-0.0170,45,0,0,0,0,0,0
7547,578,560,-0.0183,49,0,0,0,0,0,0
7585,578,560,-0.0183,49,0,0,0,0,0,0
7624,579,559,-0.0170,53,0,0,0,0,0,0
7663,579,560,-0.0140,56,0,0,0,0,0,0
7701,578,559,-0.0214,56,0,0,0,0,0,0
7740,577,560,-0.0226,61,0,0,0,0,0,0
7778,579,560,-0.0140,66,0,0,0,0,0,0
7817,578,559,-0.0214,68,0,0,0,0,0,0
7855,578,559,-0.0214,70,0,0,0,0,0,0
7894,578,560,-0.0183,75,0,0,0,0,0,0
7932,578,560,-0.0183,80,0,0,0,0,0,0
7970,578,560,-0.0183,80,0,0,0,0,0,0
8009,578,559,-0.0214,84,0,0,0,0,0,0
8047,577,560,-0.0226,90,0,0,0,0,0,0
8086,578,559,-0.0214,92,0,0,0,0,0,0
8124,578,559,-0.0214,94,0,0,0,0,0,0
8163,578,560,-0.0183,97,0,0,0,0,0,0
8202,578,559,-0.0214,101,0,0,0,0,0,0
8241,578,560,-0.0183,104,0,0,0,0,0,0
8281,578,560,-0.0183,110,0,0,0,0,0,0
8320,578,560,-0.0183,112,0,0,0,0,0,0
8359,577,560,-0.0226,114,0,0,0,0,0,0
8399,577,559,-0.0257,119,0,0,0,0,0,0
8438,578,560,-0.0183,123,0,0,0,0,0,0
8478,578,559,-0.0214,128,0,0,0,0,0,0
8517,578,559,-0.0214,130,0,0,0,0,0,0
8557,578,560,-0.0183,133,0,0,0,0,0,0
8597,578,560,-0.0183,135,0,0,0,0,0,0
8636,578,559,-0.0214,140,0,0,0,0,0,0
8676,577,560,-0.0226,142,0,0,0,0,0,0
8715,579,560,-0.0140,144,0,0,0,0,0,0
8755,578,560,-0.0183,145,0,0,0,0,0,0
8795,578,559,-0.0214,150,0,0,0,0,0,0
8834,578,560,-0.0183,154,0,0,0,0,0,0
8873,578,559,-0.0214,157,0,0,0,0,0,0
8912,578,559,-0.0214,160,0,0,0,0,0,0
8952,577,559,-0.0257,161,0,0,0,0,0,0
8991,578,559,-0.0214,166,0,0,0,0,0,0
9031,579,559,-0.0170,169,0,0,0,0,0,0
9071,578,559,-0.0214,173,0,0,0,0,0,0
9110,578,559,-0.0214,176,0,0,0,0,0,0
9150,578,559,-0.0214,178,0,0,0,0,0,0
9189,578,559,-0.0214,182,0,0,0,0,0,0
9229,578,559,-0.0214,184,0,0,0,0,0,0
9269,578,559,-0.0214,189,0,0,0,0,0,0
9308,578,559,-0.0214,191,0,0,0,0,0,0
9348,578,559,-0.0214,195,0,0,0,0,0,0
9387,577,559,-0.0257,196,0,0,0,0,0,0
9426,578,560,-0.0183,202,0,0,0,0,0,0
9466,577,559,-0.0257,208,0,0,0,0,0,0
9505,577,560,-0.0226,211,0,0,0,0,0,0
9545,577,560,-0.0226,214,0,0,0,0,0,0
9584,578,560,-0.0183,218,0,0,0,0,0,0
9624,577,560,-0.0226,222,0,0,0,0,0,0
9664,578,560,-0.0183,228,0,0,0,0,0,0
9703,578,560,-0.0183,233,0,0,0,0,0,0
9743,577,561,-0.0194,238,0,0,0,0,0,0
9782,577,560,-0.0226,240,0,0,0,0,0,0
