timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z
7606,580,559,-0.0165,100,0,0,0,0,0,0
7646,580,559,-0.0165,102,0,0,0,0,0,0
7686,580,559,-0.0165,107,0,0,0,0,0,0
7725,580,559,-0.0165,111,0,0,0,0,0,0
7764,580,559,-0.0165,115,0,0,0,0,0,0
7803,580,559,-0.0165,119,0,0,0,0,0,0
7843,581,559,-0.0122,119,0,0,0,0,0,0
7883,580,559,-0.0165,125,0,0,0,0,0,0
7922,580,559,-0.0165,131,0,0,0,0,0,0
7962,580,558,-0.0195,131,0,0,0,0,0,0
8001,580,558,-0.0195,136,0,0,0,0,0,0
8041,580,559,-0.0165,139,0,0,0,0,0,0
8081,580,559,-0.0165,139,0,0,0,0,0,0
8120,580,559,-0.0165,145,0,0,0,0,0,0
8160,580,560,-0.0135,150,0,0,0,0,0,0
8199,580,559,-0.0165,153,0,0,0,0,0,0
8239,580,559,-0.0165,158,0,0,0,0,0,0
8279,580,558,-0.0195,160,0,0,0,0,0,0
8317,580,560,-0.0135,166,0,0,0,0,0,0
8357,580,559,-0.0165,171,0,0,0,0,0,0
8396,580,559,-0.0165,171,0,0,0,0,0,0
8436,581,559,-0.0122,173,0,0,0,0,0,0
8476,580,559,-0.0165,176,0,0,0,0,0,0
8515,579,559,-0.0208,180,0,0,0,0,0,0
8555,580,559,-0.0165,183,0,0,0,0,0,0
8594,580,559,-0.0165,185,0,0,0,0,0,0
8634,580,559,-0.0165,189,0,0,0,0,0,0
8674,580,560,-0.0135,189,0,0,0,0,0,0
8713,580,559,-0.0165,195,0,0,0,0,0,0
8753,580,559,-0.0165,199,0,0,0,0,0,0
8792,580,560,-0.0135,202,0,0,0,0,0,0
8832,580,560,-0.0135,203,0,0,0,0,0,0
8870,580,560,-0.0135,206,0,0,0,0,0,0
8910,581,559,-0.0122,210,0,0,0,0,0,0
8950,580,560,-0.0135,213,0,0,0,0,0,0
8989,580,559,-0.0165,216,0,0,0,0,0,0
9029,579,560,-0.0178,216,0,0,0,0,0,0
9068,580,559,-0.0165,221,0,0,0,0,0,0
9108,580,559,-0.0165,223,0,0,0,0,0,0
9148,581,560,-0.0092,226,0,0,0,0,0,0
9187,580,558,-0.0195,230,0,0,0,0,0,0
9227,580,558,-0.0195,230,0,0,0,0,0,0
9266,580,559,-0.0165,237,0,0,0,0,0,0
9306,580,559,-0.0165,239,0,0,0,0,0,0
9346,579,559,-0.0208,241,0,0,0,0,0,0
9384,579,558,-0.0239,247,0,0,0,0,0,0
9424,579,558,-0.0239,249,0,0,0,0,0,0
9463,579,559,-0.0208,253,0,0,0,0,0,0
9503,579,559,-0.0208,258,0,0,0,0,0,0
9543,578,559,-0.0252,258,0,0,0,0,0,0
9582,580,558,-0.0195,265,0,0,0,0,0,0
9622,579,560,-0.0178,270,0,0,0,0,0,0
9661,578,559,-0.0252,270,0,0,0,0,0,0
