Timestamp_ms,ADC1_Raw,ADC1_V_milli,ADC2_Raw,ADC2_V_milli,Heading_deci,Roll_deci,Pitch_deci,Quat_W_milli,Quat_X_milli,Quat_Y_milli,Quat_Z_milli,LinAccel_X_centi,LinAccel_Y_centi,LinAccel_Z_centi,AngVel_X_deci,AngVel_Y_deci,AngVel_Z_deci,Temp_C_deci,Encoder_Count,Encoder_RPM_deci
201498,2367,2890,2213,2702,53,853,-1755,700,22,-712,-32,-1,0,0,0,-3,0,420,0,0
201517,2375,2899,2204,2691,53,853,-1755,700,22,-712,-32,-1,0,0,0,-3,0,420,0,0
201528,2371,2894,2209,2697,53,853,-1755,700,22,-712,-32,0,0,-5,0,1,0,420,0,0
201547,2381,2907,2209,2697,53,853,-1755,700,22,-712,-32,0,0,-5,0,1,0,420,0,0
201558,2380,2905,2212,2700,53,853,-1755,700,22,-712,-32,-1,0,1,0,-1,0,420,0,0
201576,2367,2890,2213,2702,53,853,-1755,700,22,-712,-32,-1,0,1,0,-1,0,420,0,0
201587,2368,2891,2211,2699,53,853,-1755,700,22,-712,-32,0,0,0,0,0,-1,420,0,0
201606,2368,2891,2210,2698,53,853,-1755,700,22,-712,-32,0,0,0,0,0,-1,420,0,0
201617,2376,2901,2210,2698,53,853,-1755,700,22,-712,-32,0,1,-2,1,0,0,420,0,0
201636,2373,2897,2204,2691,53,853,-1755,700,22,-712,-32,0,1,-2,1,0,0,420,0,0
201647,2369,2892,2201,2687,53,853,-1755,700,22,-712,-32,-1,0,-1,-2,0,0,420,0,0
201667,2371,2894,2205,2692,53,853,-1755,700,22,-712,-32,-2,1,-1,0,-1,0,420,0,0
201686,2371,2894,2217,2706,53,853,-1755,700,22,-712,-32,-2,1,-1,0,-1,0,420,0,0
201698,2360,2881,2212,2700,53,853,-1755,700,22,-712,-32,0,0,-4,-1,-1,1,420,0,0
201717,2371,2894,2202,2688,53,853,-1755,700,22,-712,-32,0,0,-4,-1,-1,1,420,0,0
201728,2375,2899,2210,2698,53,853,18725,700,22,-712,-32,0,0,-3,0,1,-1,420,0,0
201747,2370,2893,2207,2694,53,853,18725,700,22,-712,-32,0,0,-3,0,1,-1,420,0,0
201758,2369,2892,2210,2698,53,853,-1755,700,22,-712,-32,0,0,0,0,0,0,420,0,0
201776,2376,2901,2218,2708,53,853,-1755,700,22,-712,-32,0,0,0,0,0,0,420,0,0
201787,2366,2888,2219,2709,53,853,-1755,700,22,-712,-32,0,-1,-3,0,0,0,420,0,0
201806,2371,2894,2209,2697,53,853,-1755,700,22,-712,-32,0,-1,-3,0,0,0,420,0,0
201817,2369,2892,2212,2700,53,853,-1755,700,22,-712,-32,0,-1,-2,0,1,0,420,0,0
201837,2369,2892,2208,2695,53,853,-1755,700,22,-712,-32,0,0,-3,0,0,1,420,0,0
201856,2375,2899,2210,2698,53,853,-1755,700,22,-712,-32,0,0,-3,0,0,1,420,0,0
201867,2375,2899,2208,2695,53,853,-1755,700,22,-712,-32,0,0,-1,0,0,-1,420,0,0
201886,2383,2909,2215,2704,53,853,-1755,700,22,-712,-32,0,0,-1,0,0,-1,420,0,0
201897,2371,2894,2223,2714,53,853,-1755,700,22,-712,-32,0,0,-3,0,-1,-1,420,0,0
201916,2373,2897,2212,2700,53,853,-1755,700,22,-712,-32,0,0,-3,0,-1,-1,420,0,0
201928,2374,2898,2210,2698,53,853,-1755,700,22,-712,-32,-1,0,0,0,0,0,420,0,0
201947,2364,2886,2208,2695,53,853,-1755,700,22,-712,-32,-1,0,0,0,0,0,420,0,0
201958,2360,2881,2210,2698,53,853,-1755,700,22,-712,-32,0,1,-1,0,0,0,420,0,0
201976,2370,2893,2212,2700,53,853,-1755,700,22,-712,-32,0,1,-1,0,0,0,420,0,0
201987,2370,2893,2211,2699,53,853,-1755,700,22,-712,-32,0,0,-4,0,0,1,420,0,0
202006,2367,2890,2210,2698,53,853,-1755,700,22,-712,-32,0,0,-4,0,0,1,420,0,0
202017,2370,2893,2209,2697,53,853,-1755,700,22,-712,-32,1,0,1,0,0,0,420,0,0
202037,2370,2893,2209,2697,53,853,-1755,700,22,-712,-32,1,0,-4,1,0,-1,420,0,0
202056,2381,2907,2210,2698,53,853,-1755,700,22,-712,-32,1,0,-4,1,0,-1,420,0,0
202067,2364,2886,2210,2698,53,853,-1755,700,22,-712,-32,0,0,0,-1,1,-1,420,0,0
202086,2381,2907,2204,2691,53,853,-1755,700,22,-712,-32,0,0,0,-1,1,-1,420,0,0
202097,2381,2907,2208,2695,53,853,-1755,700,22,-712,-32,0,0,0,-1,0,0,420,0,0
202117,2382,2908,2208,2695,53,853,-1755,700,22,-712,-32,0,0,0,0,2,-1,420,0,0
202136,2372,2896,2208,2695,53,853,-1755,700,22,-712,-32,0,0,0,0,2,-1,420,0,0
202147,2371,2894,2216,2705,53,853,-1755,700,22,-712,-32,0,1,-4,0,1,1,420,0,0
202166,2372,2896,2214,2703,53,853,-1755,700,22,-712,-32,0,1,-4,0,1,1,420,0,0
202177,2369,2892,2208,2695,53,853,-1755,700,22,-712,-32,0,0,0,0,0,-2,420,0,0
202196,2370,2893,2209,2697,53,853,-1755,700,22,-712,-32,0,0,0,0,0,-2,420,0,0
202207,2367,2890,2211,2699,53,853,-1755,700,22,-712,-32,0,0,-1,0,1,0,420,0,0
202224,2369,2892,2211,2699,53,853,-1755,700,22,-712,-32,0,0,-1,0,1,0,420,0,0
202235,2371,2894,2211,2699,53,853,-1755,700,22,-712,-32,0,-2,-5,0,1,0,420,0,0
202252,2372,2896,2214,2703,53,853,-1755,700,22,-712,-32,0,-2,-5,0,1,0,420,0,0
