Timestamp_ms,ADC1_Raw,ADC1_V_milli,ADC2_Raw,ADC2_V_milli,Heading_deci,Roll_deci,Pitch_deci,Quat_W_milli,Quat_X_milli,Quat_Y_milli,Quat_Z_milli,LinAccel_X_centi,LinAccel_Y_centi,LinAccel_Z_centi,AngVel_X_deci,AngVel_Y_deci,AngVel_Z_deci,Temp_C_deci,Encoder_Count,Encoder_RPM_deci
4568588,2400,2930,2179,2660,3407,-43,86,-982,80,-24,-166,0,-1,0,0,3,-2,420,-35729,0
4568605,2389,2916,2181,2663,3407,-43,86,-982,80,-24,-166,0,-1,0,0,3,-2,420,-35729,0
4568617,2395,2924,2184,2666,3407,-43,86,-982,80,-24,-166,1,0,2,-1,1,1,420,-35729,0
4568635,2394,2923,2182,2664,3407,-43,86,-982,80,-24,-166,1,0,2,-1,1,1,420,-35729,0
4568647,2399,2929,2181,2663,3407,-43,86,-982,80,-25,-166,0,0,-1,-1,6,1,420,-35729,0
4568665,2396,2925,2181,2663,3407,-43,86,-982,80,-25,-166,0,0,-1,-1,6,1,420,-35729,0
4568677,2394,2923,2178,2659,3407,-43,86,-982,80,-25,-166,-2,6,-2,0,-5,2,420,-35729,0
4568695,2399,2929,2182,2664,3407,-43,86,-982,80,-25,-166,-2,6,-2,0,-5,2,420,-35729,0
4568707,2395,2924,2183,2665,3407,-43,86,-982,80,-25,-166,3,0,-13,2,-1,2,420,-35729,0
4568726,2392,2920,2182,2664,3407,-43,86,-982,80,-25,-166,3,0,-13,2,-1,2,420,-35729,0
4568738,2393,2921,2184,2666,3407,-43,86,-982,81,-25,-166,2,0,-10,0,8,9,420,-35729,0
4568755,2388,2915,2178,2659,3407,-43,86,-982,81,-25,-166,2,0,-10,0,8,9,420,-35729,0
4568767,2399,2929,2181,2663,3406,-43,86,-982,81,-25,-166,4,-4,-9,-3,14,8,420,-35729,0
4568786,2399,2929,2180,2661,3406,-43,86,-982,81,-25,-166,4,-4,-9,-3,14,8,420,-35729,0
4568797,2392,2920,2179,2660,3406,-44,86,-982,81,-25,-166,3,-4,-2,-1,18,-4,420,-35729,0
4568815,2393,2921,2179,2660,3406,-44,86,-982,81,-25,-166,3,-4,-2,-1,18,-4,420,-35729,0
4568827,2384,2910,2176,2656,3406,-45,86,-982,81,-26,-166,3,3,4,0,7,-6,420,-35729,0
4568845,2398,2927,2181,2663,3406,-45,86,-982,81,-26,-166,3,3,4,0,7,-6,420,-35729,0
4568857,2396,2925,2177,2658,3407,-45,86,-982,81,-26,-166,2,10,0,-3,-3,6,420,-35729,0
4568876,2400,2930,2176,2656,3407,-45,86,-982,81,-26,-166,2,10,0,-3,-3,6,420,-35729,0
