Timestamp_ms,ADC1_Raw,ADC1_V_milli,ADC2_Raw,ADC2_V_milli,Heading_deci,Roll_deci,Pitch_deci,Quat_W_milli,Quat_X_milli,Quat_Y_milli,Quat_Z_milli,LinAccel_X_centi,LinAccel_Y_centi,LinAccel_Z_centi,AngVel_X_deci,AngVel_Y_deci,AngVel_Z_deci,Temp_C_deci,Encoder_Count,Encoder_RPM_deci
4844255,2401,2931,2154,2630,3278,-81,86,-955,91,-48,-274,-2,-1,-7,-8,6,11,420,-37499,0
4844267,2407,2938,2159,2636,3278,-81,86,-955,92,-48,-275,-4,-2,-13,-3,7,2,420,-37499,0
4844286,2406,2937,2152,2627,3278,-81,86,-955,92,-48,-275,-4,-2,-13,-3,7,2,420,-37499,0
4844298,2402,2932,2155,2631,3278,-82,86,-955,92,-48,-274,-3,1,-3,-1,5,-10,420,-37499,0
4844317,2402,2932,2157,2633,3278,-82,86,-955,92,-48,-274,-3,1,-3,-1,5,-10,420,-37499,0
4844329,2401,2931,2154,2630,3278,-82,86,-955,92,-48,-274,-6,7,4,2,11,-6,420,-37499,0
4844348,2399,2929,2155,2631,3278,-82,86,-955,92,-48,-274,-6,7,4,2,11,-6,420,-37499,0
4844360,2404,2935,2158,2634,3278,-82,86,-955,92,-48,-274,-5,4,-7,1,5,9,420,-37499,0
4844378,2406,2937,2152,2627,3278,-82,86,-955,92,-48,-274,-5,4,-7,1,5,9,420,-37499,0
4844390,2408,2940,2152,2627,3278,-82,86,-955,92,-48,-275,-2,3,-13,4,3,11,420,-37499,0
4844408,2406,2937,2152,2627,3278,-82,86,-955,92,-48,-275,-2,3,-13,4,3,11,420,-37499,0
4844420,2400,2930,2157,2633,3278,-83,86,-955,92,-49,-275,-8,2,3,12,5,-1,420,-37499,0
4844438,2403,2934,2160,2637,3278,-83,86,-955,92,-49,-275,-8,2,3,12,5,-1,420,-37499,0
4844450,2400,2930,2156,2632,3278,-83,85,-955,91,-49,-275,-4,9,-8,17,2,-6,420,-37499,0
4844468,2404,2935,2163,2641,3278,-83,85,-955,91,-49,-275,-4,9,-8,17,2,-6,420,-37499,0
4844480,2402,2932,2158,2634,3278,-83,85,-955,91,-49,-274,-1,5,-10,20,6,5,420,-37499,0
4844499,2404,2935,2156,2632,3278,-83,85,-955,91,-49,-274,-1,5,-10,20,6,5,420,-37499,0
4844511,2405,2936,2166,2644,3278,-83,85,-955,90,-49,-275,-2,6,-2,23,10,8,420,-37499,0
4844528,2405,2936,2147,2621,3278,-83,85,-955,90,-49,-275,-2,6,-2,23,10,8,420,-37499,0
4844540,2404,2935,2160,2637,3278,-83,83,-955,90,-50,-275,0,1,-3,28,8,1,420,-37499,0
4844558,2405,2936,2156,2632,3278,-83,83,-955,90,-50,-275,0,1,-3,28,8,1,420,-37499,0
4844570,2405,2936,2162,2639,3278,-83,83,-955,89,-50,-275,1,3,-6,31,9,-3,420,-37499,0
4844588,2402,2932,2156,2632,3278,-83,83,-955,89,-50,-275,1,3,-6,31,9,-3,420,-37499,0
4844600,2406,2937,2157,2633,3278,-83,82,-955,88,-51,-275,-1,2,-1,29,7,1,420,-37499,0
4844618,2404,2935,2157,2633,3278,-83,82,-955,88,-51,-275,-1,2,-1,29,7,1,420,-37499,0
4844630,2415,2948,2144,2617,3278,-83,81,-956,87,-51,-274,0,3,-8,32,3,2,420,-37499,0
4844648,2415,2948,2159,2636,3278,-83,81,-956,87,-51,-274,0,3,-8,32,3,2,420,-37499,0
4844660,2412,2945,2159,2636,3278,-83,80,-956,87,-51,-274,1,-2,-12,38,6,-4,420,-37499,0
4844678,2406,2937,2153,2628,3278,-83,80,-956,87,-51,-274,1,-2,-12,38,6,-4,420,-37499,0
4844690,2409,2941,2160,2637,3278,-83,79,-956,86,-51,-274,-1,5,-2,39,1,-4,420,-37499,0
4844708,2405,2936,2158,2634,3278,-83,79,-956,86,-51,-274,-1,5,-2,39,1,-4,420,-37499,0
4844720,2419,2953,2173,2653,3278,-83,78,-956,85,-52,-274,-2,10,4,45,-1,-5,420,-37499,0
4844738,2409,2941,2167,2645,3278,-83,78,-956,85,-52,-274,-2,10,4,45,-1,-5,420,-37499,0
4844750,2408,2940,2164,2642,3279,-83,76,-956,83,-52,-274,0,-13,0,52,-2,1,420,-37499,0
4844769,2411,2943,2160,2637,3279,-83,76,-956,83,-52,-274,0,-13,0,52,-2,1,420,-37499,0
4844781,2417,2951,2160,2637,3278,-83,75,-956,82,-52,-275,0,-36,-6,34,-15,21,420,-37499,0
4844800,2407,2938,2158,2634,3278,-83,75,-956,82,-52,-275,0,-36,-6,34,-15,21,420,-37499,0
4844812,2414,2947,2169,2648,3278,-83,74,-956,82,-52,-275,0,-46,-2,0,-16,8,420,-37499,0
4844829,2411,2943,2160,2637,3278,-83,74,-956,82,-52,-275,0,-46,-2,0,-16,8,420,-37499,0
4844841,2415,2948,2156,2632,3278,-83,74,-956,82,-51,-275,-3,-27,-11,-9,-15,-16,420,-37499,0
4844860,2427,2963,2161,2638,3278,-83,74,-956,82,-51,-275,-3,-27,-11,-9,-15,-16,420,-37499,0
4844873,2404,2935,2165,2643,3279,-82,75,-956,83,-51,-274,-6,7,-13,-18,-10,-35,420,-37499,0
4844893,2408,2940,2163,2641,3279,-82,76,-956,83,-51,-274,-3,22,-19,-18,1,-16,420,-37499,0
4844914,2422,2957,2167,2645,3279,-82,76,-956,83,-51,-274,-5,22,-18,-13,3,4,420,-37499,0
