Timestamp_ms,ADC1_Raw,ADC1_V_milli,ADC2_Raw,ADC2_V_milli,Heading_deci,Roll_deci,Pitch_deci,Quat_W_milli,Quat_X_milli,Quat_Y_milli,Quat_Z_milli,LinAccel_X_centi,LinAccel_Y_centi,LinAccel_Z_centi,AngVel_X_deci,AngVel_Y_deci,AngVel_Z_deci,Temp_C_deci,Encoder_Count,Encoder_RPM_deci
4722937,2408,2940,2152,2627,3336,-104,88,-966,95,-71,-225,-6,-5,10,-3,-8,-1,420,-36780,0
4722950,2422,2957,2153,2628,3336,-103,88,-966,95,-71,-225,-6,1,0,-5,-14,-3,420,-36780,0
4722967,2425,2960,2144,2617,3336,-103,88,-966,95,-71,-225,-6,1,0,-5,-14,-3,420,-36780,0
4722979,2414,2947,2146,2620,3336,-103,88,-966,94,-70,-226,-4,6,-13,-1,-15,-2,420,-36780,0
4722999,2423,2958,2153,2628,3336,-103,88,-966,94,-70,-226,-4,6,-13,-1,-12,-1,420,-36780,0
4723017,2414,2947,2151,2626,3336,-103,88,-966,94,-70,-226,-4,6,-13,-1,-12,-1,420,-36780,0
4723029,2411,2943,2149,2623,3336,-103,88,-966,94,-70,-226,-6,3,-17,2,-4,3,420,-36780,0
4723048,2412,2945,2152,2627,3336,-103,88,-966,94,-70,-226,-6,3,-17,2,-4,3,420,-36780,0
4723060,2410,2942,2153,2628,3336,-103,88,-966,94,-70,-226,-6,-3,-4,1,-1,5,420,-36780,0
4723079,2392,2920,2148,2622,3336,-103,88,-966,94,-70,-226,-6,-3,-4,1,-1,5,420,-36780,0
4723091,2414,2947,2150,2625,3336,-103,88,-966,94,-70,-226,-1,-8,-8,0,0,2,420,-36780,0
4723111,2414,2947,2150,2625,3336,-103,88,-966,94,-70,-226,0,-9,-5,-3,-1,-3,420,-36780,0
4723131,2411,2943,2151,2626,3336,-103,88,-966,94,-70,-225,-5,-7,0,-1,-5,-9,420,-36780,0
4723151,2408,2940,2153,2628,3336,-102,88,-967,94,-70,-225,-3,0,3,-2,-8,-15,420,-36780,0
4723169,2407,2938,2154,2630,3336,-102,88,-967,94,-70,-225,-3,0,3,-2,-8,-15,420,-36780,0
4723181,2404,2935,2153,2628,3337,-102,88,-967,94,-70,-225,-5,3,-13,-1,-10,-10,420,-36780,0
4723201,2402,2932,2156,2632,3337,-101,88,-967,94,-69,-225,-7,5,-11,0,-17,-5,420,-36780,0
4723219,2404,2935,2152,2627,3337,-101,88,-967,94,-69,-225,-7,5,-11,0,-17,-5,420,-36780,0
4723231,2410,2942,2155,2631,3337,-101,88,-967,94,-69,-225,-11,0,0,0,-16,0,420,-36780,0
4723250,2407,2938,2154,2630,3337,-101,88,-967,94,-69,-225,-11,0,0,0,-16,0,420,-36780,0
4723262,2410,2942,2152,2627,3337,-101,88,-967,94,-69,-225,-10,1,-8,3,-8,3,420,-36780,0
4723282,2412,2945,2173,2653,3337,-101,88,-967,94,-69,1774,-9,-2,-2,2,0,5,420,-36780,0
4723303,2407,2938,2153,2628,3337,-101,88,-967,94,-69,-225,-9,-4,0,0,0,5,420,-36780,0
4723320,2408,2940,2148,2622,3337,-101,88,-967,94,-69,-225,-9,-4,0,0,0,5,420,-36780,0
4723332,2401,2931,2151,2626,3337,-101,88,-967,94,-69,-225,-6,-3,-2,3,-3,-5,420,-36780,0
4723352,2407,2938,2152,2627,3337,-101,88,-967,94,-68,-225,-6,0,-6,1,-12,-10,420,-36780,0
