timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,lstm_filtered_velocity,traditional_filtered_velocity
5315,575,580,-0.0006,179,0.01365130182409054,-0.0028,0.0011
5316,576,580,0.0028,179,0.01326470448602151,-0.0028,0.0013081081081081083
5317,577,580,0.0062,179,0.012926578877497387,-0.0031399999999999996,0.0015162162162162165
5318,576,580,0.0028,179,0.012636924998518163,-0.00278,0.0017243243243243247
5320,576,580,0.0028,179,0.012395742849083843,-0.00242,0.0019378378378378384
5321,576,580,0.0028,179,0.012203032429194426,-0.0020499999999999997,0.002151351351351352
5323,577,580,0.0062,180,0.01205879373884991,-0.0020299999999999997,0.0023648648648648654
5325,577,579,0.0026,180,0.011963026778050296,-0.0013199999999999998,0.002578378378378379
5327,576,579,-0.0008,180,0.011915731546795585,7.00000000000001e-05,0.0027918918918918927
5329,575,579,-0.0043,181,0.011916908045085774,0.0004300000000000001,0.0030054054054054063
5331,576,579,-0.0008,181,0.011966556272920868,0.00148,0.00321891891891892
5334,575,579,-0.0043,181,0.012064676230300863,0.00184,0.0034324324324324336
5337,574,579,-0.0077,181,0.012211267917225314,0.0028899999999999998,0.0036459459459459473
5339,576,579,-0.0008,181,0.011153282221705692,0.00358,0.0038594594594594596
5341,574,579,-0.0077,181,0.010889628954933565,0.00429,0.004072972972972973
5343,576,579,-0.0008,181,0.01006333498930978,0.00465,0.0042864864864864865
5345,575,579,-0.0043,181,0.010703036326151506,0.005,0.0045
5347,575,579,-0.0043,181,0.01264390555504029,0.00536,0.0047081081081081074
5350,575,578,-0.0079,182,0.01583100020583666,0.00538,0.004916216216216215
5352,575,578,-0.0079,182,0.018015914396665497,0.00609,0.005124324324324323
5354,575,579,-0.0043,183,0.019125391500674157,0.0064600000000000005,0.005332432432432432
5356,575,578,-0.0079,183,0.021261324146032465,0.00717,0.005545945945945945
5358,575,578,-0.0079,183,0.02081833332326615,0.00753,0.005759459459459458
5360,575,578,-0.0079,183,0.0208706874971678,0.007890000000000001,0.005972972972972972
5362,574,578,-0.0114,183,0.021088731846900508,0.00787,0.006186486486486486
5365,575,578,-0.0079,184,0.02125269649190635,0.00787,0.0063999999999999994
5367,575,578,-0.0079,184,0.02125269649190635,0.00787,0.006597297297297296
5369,575,578,-0.0079,185,0.021088731846900508,0.00785,0.006789189189189189
5371,574,579,-0.0077,185,0.019660227623273928,0.0082,0.006981081081081081
5373,575,578,-0.0079,185,0.019270532173041206,0.00818,0.007172972972972973
5376,575,579,-0.0043,185,0.018837384719300587,0.007479999999999999,0.007364864864864864
5379,574,579,-0.0077,185,0.018397413575478413,0.007119999999999999,0.007462162162162162
5381,574,578,-0.0114,186,0.01910613614532906,0.007099999999999998,0.007554054054054054
5383,574,579,-0.0077,186,0.01873346070369058,0.006739999999999998,0.0075567567567567575
5385,576,578,-0.0044,187,0.01845321881103051,0.006759999999999998,0.007559459459459461
5387,575,579,-0.0043,187,0.01833866709420151,0.007109999999999998,0.007562162162162164
5389,574,579,-0.0077,187,0.018572947120335186,0.007449999999999998,0.007472972972972975
5392,575,579,-0.0043,187,0.01944908539684212,0.007469999999999999,0.007383783783783787
5394,575,578,-0.0079,187,0.019066645019397258,0.0067599999999999995,0.007294594594594597
5396,574,578,-0.0114,187,0.018910798212591895,0.007129999999999999,0.007202702702702706
5398,574,579,-0.0077,188,0.017044479758674666,0.00783,0.007110810810810814
5400,575,578,-0.0079,188,0.014897919412097376,0.00783,0.0069189189189189215
5402,575,579,-0.0043,189,0.011553683806376735,0.008199999999999999,0.006721621621621624
5404,574,578,-0.0114,189,0.009461634547232626,0.008909999999999998,0.006524324324324326
5407,574,578,-0.0114,189,0.008859855671936137,0.00926,0.006327027027027028
5409,575,579,-0.0043,189,0.007774653649309588,0.008909999999999998,0.006129729729729731
5411,574,578,-0.0114,189,0.007599629920378457,0.008929999999999999,0.005840540540540541
5413,574,578,-0.0114,189,0.00628783432711241,0.008929999999999999,0.005551351351351352
5415,574,578,-0.0114,189,0.005141297526971119,0.00894,0.005170270270270271
5417,575,578,-0.0079,189,0.004306532773659874,0.008239999999999999,0.004783783783783784
5421,575,578,-0.0079,189,0.003984995791023452,0.007539999999999998,0.004308108108108107
5423,575,578,-0.0079,189,0.0044330847730461075,0.0075499999999999986,0.0038297297297297294
5425,576,578,-0.0044,189,0.005962140383851583,0.007199999999999998,0.0033513513513513515
5427,576,578,-0.0044,189,0.006635097405688515,0.006489999999999998,0.0028729729729729736
5429,576,578,-0.0044,190,0.009056017153476249,0.005429999999999999,0.002400000000000001
5431,576,578,-0.0044,190,0.009057742684301472,0.0046999999999999984,0.0019270270270270284
5434,575,578,-0.0079,190,0.008070503752615987,0.004339999999999998,0.001362162162162163
5436,575,579,-0.0043,190,0.006314070238977728,0.0032699999999999986,0.0007972972972972977
5438,576,579,-0.0008,190,0.004008212023944632,0.0028899999999999985,0.00022702702702702724
5440,575,580,-0.0006,190,0.0013726989880746324,0.0025099999999999983,-0.0003432432432432431
5442,575,579,-0.0043,190,-0.0013726989880743338,0.0017899999999999986,-0.0009135135135135131
5444,576,580,0.0028,190,-0.004008212023944333,0.0014099999999999985,-0.0014837837837837836
5446,575,580,-0.0006,190,-0.005103610365083563,-1.734723475976807e-18,-0.0020540540540540542
5449,575,580,-0.0006,190,-0.006522702602390744,-0.0014100000000000017,-0.0026243243243243243
5451,576,580,0.0028,190,-0.007844263131463167,-0.0021300000000000017,-0.0031945945945945947
