timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,dpss_lstm_filtered,traditional_filtered
5641,582,586,0.0101,-114,0.00678280374432277,0.11422638154887119,-0.009089189189189188
5643,582,586,0.0101,-114,0.007428653898965212,0.11339674111691331,-0.00918108108108108
5645,582,586,0.0101,-114,0.0065632790866783685,0.11256874818858265,-0.009272972972972972
5647,584,586,0.0167,-113,0.006229589193577626,0.1117074712812419,-0.009364864864864864
5649,583,586,0.0134,-113,0.006228309053322765,0.11092272763328605,-0.009456756756756756
5652,582,587,0.0136,-113,0.006396395347999067,0.11029821383676688,-0.009548648648648649
5654,582,586,0.0101,-113,0.006607036608117299,0.10976826399931572,-0.009640540540540539
5656,584,587,0.0201,-113,0.006769653212613733,0.10929739175465819,-0.009732432432432433
5658,583,586,0.0134,-113,0.006829897388850127,0.10900167876067807,-0.009824324324324323
5660,582,586,0.0101,-113,0.006769653212613733,0.10894703279061002,-0.009916216216216217
5662,582,586,0.0101,-113,0.006607036608117299,0.10901756150057215,-0.010008108108108107
5664,584,587,0.0201,-113,0.006396395347999067,0.1091115640439208,-0.010189189189189188
5667,584,586,0.0167,-113,0.006228309053322765,0.10926826147353713,-0.010370270270270269
5669,582,586,0.0101,-113,0.006229589193577626,0.1094863626661283,-0.01046216216216216
5671,582,586,0.0101,-112,0.00656327908667837,0.10963933730222963,-0.010548648648648646
5673,584,586,0.0167,-112,0.007428653898965212,0.10970574764111649,-0.010724324324324321
5676,583,586,0.0134,-112,0.0067828037443227705,0.10986004957330264,-0.010899999999999998
5678,582,586,0.0101,-112,0.005859318322890973,0.1101953711565961,-0.010902702702702702
5681,582,586,0.0101,-112,0.0047125454073080626,0.11055650301352812,-0.010902702702702702
5683,584,586,0.0167,-112,0.0034149486944250237,0.11077156783476322,-0.010902702702702702
5685,583,586,0.0134,-112,0.002057107805305592,0.11086942369456688,-0.010902702702702702
5687,582,586,0.0101,-112,0.0007477182852262466,0.11093814214241077,-0.010902702702702702
5689,582,586,0.0101,-112,-0.001583766248038219,0.11095028670999035,-0.010902702702702702
5691,583,585,0.01,-112,-0.0027313925904577053,0.11089234500510581,-0.010902702702702702
5694,583,587,0.0169,-112,-0.0027313925904577053,0.11087811475843345,-0.010902702702702702
