timestamp,dpss_Val_1,dpss_Val_2,estimated_linear_velocity,encoder_value,gt_velocity_savgol,dpss_lstm_filtered,traditional_filtered
5315,575,580,-0.0006,179,0.01365130182409054,0.12457156717469096,0.0011
5316,576,580,0.0028,179,0.01326470448602151,0.12455834782071029,0.0013081081081081083
5317,577,580,0.0062,179,0.012926578877497387,0.12462712520889538,0.0015162162162162165
5318,576,580,0.0028,179,0.012636924998518163,0.12486944259085297,0.0017243243243243247
5320,576,580,0.0028,179,0.012395742849083843,0.12528241177149582,0.0019378378378378384
5321,576,580,0.0028,179,0.012203032429194426,0.12583443760075289,0.002151351351351352
5323,577,580,0.0062,180,0.01205879373884991,0.12658324171108587,0.0023648648648648654
5325,577,579,0.0026,180,0.011963026778050296,0.12760564344724323,0.002578378378378379
5327,576,579,-0.0008,180,0.011915731546795585,0.1288350074049032,0.0027918918918918927
5329,575,579,-0.0043,181,0.011916908045085774,0.13010921205583093,0.0030054054054054063
5331,576,579,-0.0008,181,0.011966556272920868,0.13134426371646263,0.00321891891891892
5334,575,579,-0.0043,181,0.012064676230300863,0.13255613219920365,0.0034324324324324336
5337,574,579,-0.0077,181,0.012211267917225314,0.1337575601097982,0.0036459459459459473
5339,576,579,-0.0008,181,0.011153282221705692,0.13489192979636108,0.0038594594594594596
5341,574,579,-0.0077,181,0.010889628954933565,0.13587329981348237,0.004072972972972973
5343,576,579,-0.0008,181,0.01006333498930978,0.13666466008429162,0.0042864864864864865
5345,575,579,-0.0043,181,0.010703036326151506,0.1372994630611199,0.0045
5347,575,579,-0.0043,181,0.01264390555504029,0.13785899265957013,0.0047081081081081074
5350,575,578,-0.0079,182,0.01583100020583666,0.13844656768407665,0.004916216216216215
5352,575,578,-0.0079,182,0.018015914396665497,0.13913369458020122,0.005124324324324323
5354,575,579,-0.0043,183,0.019125391500674157,0.13990337574129252,0.005332432432432432
5356,575,578,-0.0079,183,0.021261324146032465,0.14066194087271594,0.005545945945945945
5358,575,578,-0.0079,183,0.02081833332326615,0.14129570215626203,0.005759459459459458
5360,575,578,-0.0079,183,0.0208706874971678,0.14172814814767878,0.005972972972972972
5362,574,578,-0.0114,183,0.021088731846900508,0.14195954053979726,0.006186486486486486
5365,575,578,-0.0079,184,0.02125269649190635,0.14206310634867209,0.0063999999999999994
5367,575,578,-0.0079,184,0.02125269649190635,0.14213149380424592,0.006597297297297296
5369,575,578,-0.0079,185,0.021088731846900508,0.14219927383931308,0.006789189189189189
5371,574,579,-0.0077,185,0.019660227623273928,0.1421907836705973,0.006981081081081081
5373,575,578,-0.0079,185,0.019270532173041206,0.14198694222060282,0.007172972972972973
5376,575,579,-0.0043,185,0.018837384719300587,0.14158814609102433,0.007364864864864864
5379,574,579,-0.0077,185,0.018397413575478413,0.1411398601970671,0.007462162162162162
5381,574,578,-0.0114,186,0.01910613614532906,0.1407871355277407,0.007554054054054054
5383,574,579,-0.0077,186,0.01873346070369058,0.14060724191311763,0.0075567567567567575
5385,576,578,-0.0044,187,0.01845321881103051,0.14063285607021103,0.007559459459459461
5387,575,579,-0.0043,187,0.01833866709420151,0.1408066093830757,0.007562162162162164
5389,574,579,-0.0077,187,0.018572947120335186,0.14096815971385412,0.007472972972972975
5392,575,579,-0.0043,187,0.01944908539684212,0.14101523124353732,0.007383783783783787
5394,575,578,-0.0079,187,0.019066645019397258,0.1410542486114966,0.007294594594594597
5396,574,578,-0.0114,187,0.018910798212591895,0.14127048898161573,0.007202702702702706
5398,574,579,-0.0077,188,0.017044479758674666,0.14169404854702772,0.007110810810810814
5400,575,578,-0.0079,188,0.014897919412097376,0.14223452597120684,0.0069189189189189215
5402,575,579,-0.0043,189,0.011553683806376735,0.14282245471739832,0.006721621621621624
5404,574,578,-0.0114,189,0.009461634547232626,0.14336448121424045,0.006524324324324326
5407,574,578,-0.0114,189,0.008859855671936137,0.14371945501164385,0.006327027027027028
5409,575,579,-0.0043,189,0.007774653649309588,0.14383662592041924,0.006129729729729731
5411,574,578,-0.0114,189,0.007599629920378457,0.14378442024839752,0.005840540540540541
5413,574,578,-0.0114,189,0.00628783432711241,0.14359562084281752,0.005551351351351352
5415,574,578,-0.0114,189,0.005141297526971119,0.14321493580419997,0.005170270270270271
5417,575,578,-0.0079,189,0.004306532773659874,0.14263886371305523,0.004783783783783784
5421,575,578,-0.0079,189,0.003984995791023452,0.14197757151847362,0.004308108108108107
5423,575,578,-0.0079,189,0.0044330847730461075,0.14129328728518875,0.0038297297297297294
5425,576,578,-0.0044,189,0.005962140383851583,0.14049315768826792,0.0033513513513513515
5427,576,578,-0.0044,189,0.006635097405688515,0.1394807053864482,0.0028729729729729736
5429,576,578,-0.0044,190,0.009056017153476249,0.13831488038878653,0.002400000000000001
5431,576,578,-0.0044,190,0.009057742684301472,0.13713586145338053,0.0019270270270270284
5434,575,578,-0.0079,190,0.008070503752615987,0.13601787559423184,0.001362162162162163
5436,575,579,-0.0043,190,0.006314070238977728,0.1349760688792359,0.0007972972972972977
5438,576,579,-0.0008,190,0.004008212023944632,0.1340141001346016,0.00022702702702702724
5440,575,580,-0.0006,190,0.0013726989880746324,0.13307356459467928,-0.0003432432432432431
5442,575,579,-0.0043,190,-0.0013726989880743338,0.13201419983134885,-0.0009135135135135131
5444,576,580,0.0028,190,-0.004008212023944333,0.13069442895697522,-0.0014837837837837836
5446,575,580,-0.0006,190,-0.005103610365083563,0.12909259845796606,-0.0020540540540540542
5449,575,580,-0.0006,190,-0.006522702602390744,0.12733976036093891,-0.0026243243243243243
5451,576,580,0.0028,190,-0.007844263131463167,0.12556202106450026,-0.0031945945945945947
5453,575,580,-0.0006,190,-0.008665380504611284,0.1237633084363647,-0.003764864864864865
5455,577,580,0.0062,189,-0.00860145743085871,0.12192836715317129,-0.004335135135135135
5457,577,581,0.0098,189,-0.009589559127956808,0.12010248523833048,-0.004905405405405405
5459,576,581,0.0064,189,-0.010309340781732743,0.11832010026784474,-0.005475675675675676
5462,577,581,0.0098,189,-0.01068754576533387,0.11656952326336624,-0.006040540540540541
5464,577,581,0.0098,189,-0.01068754576533387,0.11487446973945431,-0.006516216216216217
5466,577,582,0.0134,189,-0.010309340781732743,0.11335996394615913,-0.006991891891891893
5468,577,581,0.0098,189,-0.009589559127956808,0.11215188913083073,-0.007375675675675676
5470,577,581,0.0098,189,-0.00860145743085871,0.11121198476498126,-0.007759459459459461
5473,578,581,0.0132,188,-0.00745492063071742,0.11039823516255187,-0.008143243243243245
5475,578,581,0.0132,188,-0.006296461981238225,0.10966904670717621,-0.00852702702702703
5477,578,581,0.0132,188,-0.005309223049552739,0.1090796129532868,-0.008908108108108112
5479,578,580,0.0097,188,-0.005923433590112765,0.1086325839646895,-0.009289189189189194
5481,578,581,0.0132,188,-0.006311913325445902,0.10828436902627059,-0.009575675675675679
5483,579,581,0.0166,188,-0.004665796134792918,0.10805367010616859,-0.009854054054054057
5485,578,581,0.0132,188,-0.0036807141166389614,0.10799348829688153,-0.010132432432432436
5487,578,581,0.0132,188,-0.0015478011502247956,0.10808728576149318,-0.010410810810810814
5489,578,581,0.0132,188,0.0012567746899073845,0.10828289574121125,-0.010594594594594596
5491,578,581,0.0132,188,0.004275159485928547,0.10859477591352903,-0.010686486486486487
5493,578,581,0.0132,188,0.007067813476722823,0.1090574631340593,-0.010778378378378379
5495,577,581,0.0098,188,0.008003051183993637,0.1095958896696844,-0.01077837837837838
5497,578,581,0.0132,188,0.008761539631508095,0.11005005185200717,-0.010772972972972977
5500,577,581,0.0098,188,0.00985011428256576,0.11033818675081622,-0.010586486486486489
5502,577,581,0.0098,188,0.011830553070605682,0.11053099894457652,-0.010391891891891894
5505,577,581,0.0098,189,0.014245002077798831,0.11076322740027642,-0.010105405405405407
5507,578,580,0.0097,189,0.016708864013168817,0.1111026033151632,-0.00981891891891892
5509,578,581,0.0132,189,0.017700338338698027,0.11149506302933385,-0.009532432432432432
5511,578,581,0.0132,190,0.01785445961467817,0.11181960683543392,-0.009245945945945945
5513,578,581,0.0132,190,0.018888523178302658,0.11199924909442327,-0.008867567567567567
5515,577,581,0.0098,190,0.020326360955029307,0.11208462136667195,-0.00848918918918919
5517,577,580,0.0062,190,0.021801689810594885,0.11224772321712594,-0.00811081081081081
5519,577,581,0.0098,190,0.02184765167712128,0.11265990448177463,-0.007732432432432433
5521,578,580,0.0097,191,0.022401311772359846,0.11335708379586068,-0.007354054054054053
5523,578,580,0.0097,191,0.022014126185145626,0.11423966408598688,-0.006975675675675676
5525,578,581,0.0132,192,0.022659788446656302,0.11516663768697337,-0.006597297297297296
5527,577,580,0.0062,192,0.02415515698976027,0.11608389426439943,-0.006218918918918919
5530,577,580,0.0062,192,0.025253143627137337,0.11712236188402372,-0.005840540540540539
5532,577,581,0.0098,192,0.02584386341850853,0.11846126258043693,-0.005462162162162162
5534,577,579,0.0026,193,0.025744174796742243,0.1200813616411975,-0.005083783783783784
5536,577,580,0.0062,194,0.027001027919868806,0.12179158385644939,-0.004705405405405405
5538,577,580,0.0062,194,0.027219503652307835,0.1234655225849199,-0.004327027027027027
5540,576,579,-0.0008,194,0.02744523445753472,0.12514326478127372,-0.003948648648648649
5542,575,579,-0.0043,194,0.026449446304942448,0.12689620741135546,-0.00357027027027027
5544,576,579,-0.0008,195,0.025233456889085935,0.12865388988313303,-0.003197297297297297
5547,576,580,0.0028,195,0.02595410130827448,0.1302532823088694,-0.002916216216216216
5549,576,579,-0.0008,196,0.02634465952391982,0.13159066329682906,-0.0027270270270270272
5552,575,579,-0.0043,196,0.027597277253202653,0.13259930127094938,-0.0025378378378378384
5554,574,579,-0.0077,196,0.027555119397813684,0.1332288487328488,-0.0023486486486486496
5556,575,579,-0.0043,197,0.02629144258460556,0.1335767760948049,-0.00215945945945946
5558,576,579,-0.0008,197,0.02610959516559286,0.13385169576207914,-0.0019702702702702707
5560,575,579,-0.0043,198,0.025963944677300187,0.13409865258012513,-0.0017810810810810812
5562,575,579,-0.0043,198,0.025964376060006494,0.1341337620309696,-0.0015945945945945947
5565,576,579,-0.0008,198,0.025072943305730542,0.13382400869552571,-0.0014081081081081081
5567,576,579,-0.0008,198,0.024481792131653038,0.13327717453560375,-0.0012216216216216216
